feature,importance
numeric__mcc_entropy_30d,14.812214865894344
numeric__night_ratio_30d,10.559121442981686
numeric__log_amount_to_max_30d,9.601592610940598
numeric__spending_trend,9.171554701566988
numeric__distinct_countries_30d,8.71020510011057
numeric__amount_z_30d,7.588299826265503
numeric__decline_rate_30d,3.8853599325035684
numeric__device_diversity_30d,3.8812347960204368
numeric__credit_util_today,3.6086637215327766
numeric__log_mean_amount_30d,2.5674487571775764
numeric__distinct_merchants_7d,2.147105027124295
numeric__txn_count_ratio_7d_30d,1.8272976876730145
numeric__ip_score,1.3740461613485688
numeric__txn_count_7d,1.2581583194958001
numeric__txn_count_30d,1.0699814400167638
numeric__amount_to_mean_30d,1.0270314572002057
numeric__hour,1.0194631029929786
binary__cross_border_flag,0.8215016412156085
binary__high_max_amount_30d_flag,0.8181764562530852
categorical__night_ratio_group_medium,0.5061319285754317
categorical__night_ratio_group_high,0.4388114508669273
categorical__amount_to_max_group_above_max,0.383793872865747
binary__low_country_diversity_flag,0.3348498199038632
categorical__term_location_WEARABLE_PAY,0.3271573132580719
numeric__night_unusual_score,0.3036103845105067
categorical__card_entry_mode_QR_CODE,0.29651852970813464
numeric__chargebacks_365d,0.28960592494192483
categorical__credit_util_risk_group_very_high,0.288815493740026
binary__card_not_present_flag,0.2847860851215977
categorical__merchant_country_VN,0.28374401469146365
binary__very_low_mcc_entropy_flag,0.2463291802591195
categorical__term_location_MOBILE_APP,0.21960321685913886
categorical__amount_to_max_group_near_max,0.21917131518155059
categorical__time_period_evening,0.21841516635432237
categorical__auth_result_BIOMETRIC_PASS,0.2131898896963305
categorical__time_period_afternoon,0.20546958820755143
categorical__card_entry_mode_TOKEN_IN_APP,0.19806059098666945
categorical__pin_verif_method_OFFLINE_PIN,0.19053961912538186
categorical__currency_USD,0.18040640231307947
categorical__payment_channel_SMART_WATCH,0.17859306976962117
categorical__night_unusual_group_low,0.17003356215129922
categorical__auth_characteristics_FALLBACK_MAG,0.1697838225862874
categorical__message_type_0200-FinReq,0.16913087921669664
categorical__recurring_flag_SINGLE_PURCHASE,0.16711338709623283
categorical__merchant_country_IN,0.16564991190370915
categorical__auth_result_AVS_PASS,0.16075880274365603
categorical__message_type_0510-AdviceRsp,0.1600443951386643
categorical__merchant_country_TH,0.15985877491987993
categorical__merchant_country_MY,0.1588681310029824
categorical__term_location_CALL_CENTER,0.15772107375311756
categorical__credit_util_risk_group_high,0.1552638573676985
categorical__amount_to_max_group_much_above_max,0.14767199913235585
categorical__recurring_flag_MOTO_MAIL,0.14535262721948564
categorical__card_entry_mode_CHIP,0.1437243014009254
categorical__merchant_country_US,0.14341632661406647
categorical__term_location_BRANCH_COUNTER,0.14256653773663924
categorical__currency_EUR,0.13935765432910535
categorical__day_name_Thursday,0.13757715691210992
categorical__day_name_Sunday,0.1375507735587859
categorical__recurring_flag_RECURRING_SUBSCRIPTION,0.13534260059122688
categorical__decline_rate_risk_group_low,0.1333365642563758
categorical__auth_characteristics_E_COMMERCE,0.12930566993412507
binary__low_spending_trend_flag,0.1282170130549418
categorical__day_name_Monday,0.12689208839987737
categorical__decline_rate_risk_group_medium,0.1264214386117891
categorical__auth_characteristics_FORCE_POST,0.1249376222238069
categorical__recurring_flag_MOTO_PHONE,0.1225590647242901
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,0.12144365075515111
binary__low_mcc_entropy_flag,0.1210030657995985
categorical__time_period_morning,0.11229681622506861
categorical__night_unusual_group_medium,0.10861375915803204
categorical__merchant_country_BR,0.10386767297132003
categorical__pin_verif_method_NONE,0.10053939635332412
categorical__currency_GBP,0.1002734242831546
