feature,importance
numeric__mcc_entropy_30d,15.093401923796408
numeric__night_ratio_30d,11.167080937369027
numeric__log_amount_to_max_30d,9.290754947881933
numeric__spending_trend,9.21362127879777
numeric__distinct_countries_30d,8.95387292740414
numeric__amount_z_30d,7.491621831631799
numeric__decline_rate_30d,3.932930755758402
numeric__device_diversity_30d,3.8986736836018454
numeric__credit_util_today,3.477000966094535
numeric__log_mean_amount_30d,2.13790606436983
numeric__distinct_merchants_7d,2.034421155947677
numeric__txn_count_ratio_7d_30d,1.8922694581998816
numeric__ip_score,1.4831001492148825
numeric__amount_to_mean_30d,1.3249143414980542
numeric__txn_count_7d,1.1808260380707118
numeric__txn_count_30d,1.109154717016353
numeric__hour,0.9920417584234787
binary__high_max_amount_30d_flag,0.9017192444540384
binary__cross_border_flag,0.7039944379803426
categorical__night_ratio_group_medium,0.45040096892920684
categorical__credit_util_risk_group_very_high,0.4097708047600091
categorical__term_location_WEARABLE_PAY,0.3436059895751597
categorical__amount_to_max_group_above_max,0.3415580314501491
categorical__night_ratio_group_high,0.3223964345469787
categorical__time_period_evening,0.3096749413592481
categorical__card_entry_mode_CHIP,0.29162967977687676
categorical__merchant_country_VN,0.27730385800076124
categorical__amount_to_max_group_much_above_max,0.2677482894493085
binary__low_country_diversity_flag,0.25307514958624616
categorical__recurring_flag_RECURRING_SUBSCRIPTION,0.2485341972270646
categorical__message_type_0200-FinReq,0.2417922561163718
numeric__night_unusual_score,0.2304815721143341
categorical__amount_to_max_group_near_max,0.22855180445491557
categorical__card_entry_mode_TOKEN_IN_APP,0.21792500156549682
categorical__term_location_MOBILE_APP,0.21769927785198287
categorical__currency_USD,0.21391940812483554
categorical__auth_characteristics_E_COMMERCE,0.2045125916644243
categorical__day_name_Thursday,0.2037101420140251
numeric__chargebacks_365d,0.1939197627174767
binary__very_low_mcc_entropy_flag,0.19331195444889498
categorical__card_entry_mode_QR_CODE,0.18582089283490802
binary__card_not_present_flag,0.181597948445331
categorical__pin_verif_method_OFFLINE_PIN,0.17345447491957508
categorical__payment_channel_MOBILE_APP,0.16741498662658486
categorical__night_unusual_group_low,0.16456469827848605
categorical__payment_channel_POS_TERMINAL,0.1625524355918067
categorical__auth_result_BIOMETRIC_PASS,0.16095257052933967
categorical__merchant_country_FR,0.16054877602239845
categorical__day_name_Tuesday,0.15537168214234778
categorical__message_type_0500-Advice,0.15508923323743654
categorical__auth_characteristics_FALLBACK_MAG,0.15449279700573365
categorical__term_location_ONLINE_PORTAL,0.1367105047010682
categorical__term_location_CALL_CENTER,0.13617215940544233
categorical__merchant_country_US,0.13368223508148305
categorical__message_type_0510-AdviceRsp,0.13147200024656194
categorical__time_period_afternoon,0.1310276185637595
categorical__merchant_country_BR,0.1305554144778799
categorical__merchant_country_TH,0.12946759345768244
binary__low_spending_trend_flag,0.1272154426662538
categorical__auth_characteristics_FORCE_POST,0.1269154850483451
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,0.12478200205280726
categorical__currency_EUR,0.12442514664789624
categorical__currency_KRW,0.12062121915102238
categorical__payment_channel_ATM,0.12035763447040393
categorical__auth_result_CVV_FAIL,0.12012147586898447
categorical__credit_util_risk_group_high,0.11837384484007539
categorical__payment_channel_SMART_WATCH,0.11631027843548475
categorical__merchant_country_IN,0.10842452567293963
categorical__day_name_Sunday,0.10687544362698516
categorical__recurring_flag_SINGLE_PURCHASE,0.1067965521177779
