night_ratio_30d,mcc_entropy_30d,distinct_merchants_7d,distinct_countries_30d,device_diversity_30d,decline_rate_30d,chargebacks_365d,credit_util_today,spending_trend,ip_score,txn_count_7d,txn_count_30d,txn_count_ratio_7d_30d,hour,log_mean_amount_30d,amount_to_mean_30d,log_amount_to_max_30d,amount_z_30d,night_unusual_score,currency,payment_channel,merchant_country,mcc,card_entry_mode,auth_result,pin_verif_method,recurring_flag,auth_characteristics,message_type,term_location,day_name,time_period,night_ratio_group,night_unusual_group,amount_to_max_group,ip_score_risk_group,decline_rate_risk_group,credit_util_risk_group,txn_count_7d_group,txn_velocity_group,very_low_mcc_entropy_flag,low_mcc_entropy_flag,low_night_ratio_flag,high_max_amount_30d_flag,low_spending_trend_flag,low_country_diversity_flag,night_transaction_flag,card_not_present_flag,cross_border_flag,tokenised_flag,low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_low_night_ratio_x_card_not_present,low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_low_spending_trend,low_night_ratio_x_high_max_amount_30d,low_night_ratio_x_night_transaction,low_mcc_entropy_x_card_not_present,cross_border_x_low_country_diversity,fraud,y_true,fraud_probability,y_pred,threshold,error_type
0.15,0.859,47,20,29,0.07,0,0.285,0.327,0.1596,21.0,496.0,0.04225352112676056,22,1.801709800081223,29354.899339933996,0.685880442049231,60505.316326530614,0.85,USD,API_SERVER,PH,4372,MANUAL_KEYED,BIOMETRIC_PASS,NONE,MOTO_MAIL,MOBILE_TOKEN,0110-AuthRsp,BRANCH_COUNTER,Thursday,late_evening,low,high,near_max,low,low,low,gt_20,very_low,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7745224900166057,1,0.66,FP
0.458,0.957,98,10,7,0.149,0,0.065,1.068,0.0988,69.0,233.0,0.2948717948717949,23,2.222459048514761,401.83856988082334,0.022263073339080702,1574.782978723404,0.542,USD,MOBILE_APP,CN,3275,MAGSTRIPE,BIOMETRIC_PASS,ONLINE_PIN,MOTO_MAIL,CRYPTOGRAM_PRESENT,0420-RepeatRev,KIOSK,Thursday,late_evening,medium,medium,below_half_max,low,medium,low,gt_20,low,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.674707047674946,1,0.66,FP
0.102,0.585,21,3,40,0.229,0,0.969,2.047,0.0917,59.0,231.0,0.2543103448275862,0,2.1701959049483,5487.03196347032,0.2275172422115684,14052.233918128655,0.898,EUR,MOBILE_APP,KR,4933,CONTACTLESS,CVV_PASS,SIGNATURE,MOTO_PHONE,CARD_PRESENT,0500-Advice,WEARABLE_PAY,Friday,night,low,high,below_half_max,low,medium,very_high,gt_20,low,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7344758058950939,1,0.66,FP
0.231,0.216,55,22,33,0.083,0,0.514,1.09,0.3979,87.0,171.0,0.5058139534883721,1,2.432735777459091,16936.675153643548,0.6651745976049647,76546.96031746031,0.769,USD,POS_TERMINAL,AU,3051,MANUAL_KEYED,CVV_PASS,NONE,INSTALLMENT_PLAN,CRYPTOGRAM_PRESENT,0200-FinReq,MOBILE_APP,Friday,night,low,high,near_max,medium,low,medium,gt_20,medium,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.7503682891224899,1,0.66,FP
0.158,0.534,78,7,17,0.191,0,0.413,2.548,0.4254,83.0,345.0,0.2398843930635838,2,2.0215475632609334,8232.13774834437,0.36566772908743433,21805.645614035086,0.842,EUR,POS_TERMINAL,IN,7735,MANUAL_KEYED,CVV_FAIL,NONE,MOTO_MAIL,FORCE_POST,0110-AuthRsp,CALL_CENTER,Friday,night,low,high,below_half_max,medium,medium,medium,gt_20,low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8151456110466908,1,0.66,FP
0.54,0.468,58,6,4,0.107,9,1.078,3.03,0.3421,3.0,253.0,0.011811023622047244,3,1.803358605071407,32071.184514003293,0.5778027794424994,94498.55339805824,0.45999999999999996,USD,IVR_PHONE,PH,7308,MANUAL_KEYED,BIOMETRIC_PASS,OFFLINE_PIN,SINGLE_PURCHASE,FALLBACK_MAG,0200-FinReq,KIOSK,Friday,night,medium,medium,near_max,medium,medium,very_high,2_5,very_low,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8119474164684375,1,0.66,FP
0.106,0.825,11,9,37,0.095,0,0.931,0.703,0.1085,38.0,267.0,0.1417910447761194,3,2.030776369698555,100.04593175853019,0.011006403254831923,211.0977653631285,0.894,USD,SMART_WATCH,JP,7650,CHIP,AVS_PASS,OFFLINE_PIN,MOTO_PHONE,FALLBACK_MAG,0500-Advice,CALL_CENTER,Friday,night,low,high,below_half_max,low,low,very_high,gt_20,very_low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904854223034794,1,0.66,FP
0.158,0.59,80,8,27,0.104,0,1.547,0.715,0.1871,0.0,1.0,0.0,4,2.392425796993835,7722.408592321754,0.5028055655793863,27161.8038585209,0.842,USD,ATM,US,5991,QR_CODE,CVV_FAIL,ONLINE_PIN,RECURRING_SUBSCRIPTION,E_COMMERCE,0210-FinRsp,POS_TERMINAL,Friday,night,low,high,near_max,low,medium,very_high,0_1,very_low,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8940851462350111,1,0.66,FP
0.243,0.466,62,17,13,0.206,0,0.338,1.367,0.1861,74.0,481.0,0.15352697095435686,4,2.1198634561787513,19099.795918367345,0.583591359844371,68871.84848484848,0.757,JPY,WEB_BROWSER,VN,5256,CONTACTLESS,AVS_FAIL,NONE,MOTO_PHONE,FALLBACK_MAG,0110-AuthRsp,BRANCH_COUNTER,Friday,night,low,high,near_max,low,medium,medium,gt_20,very_low,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8327375936258035,1,0.66,FP
0.267,0.447,29,18,12,0.158,0,1.25,2.04,0.2308,92.0,96.0,0.9484536082474226,5,2.134166441369082,9942.194082840237,0.2912415121696175,36365.406926406926,0.733,USD,IVR_PHONE,AE,3191,CONTACTLESS,3DS_FAIL,SIGNATURE,MOTO_PHONE,E_COMMERCE,0210-FinRsp,MOBILE_APP,Friday,night,low,high,below_half_max,medium,medium,very_high,gt_20,high,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7601547357090077,1,0.66,FP
