night_ratio_30d,mcc_entropy_30d,distinct_merchants_7d,distinct_countries_30d,device_diversity_30d,decline_rate_30d,chargebacks_365d,credit_util_today,spending_trend,ip_score,txn_count_7d,txn_count_30d,txn_count_ratio_7d_30d,hour,log_mean_amount_30d,amount_to_mean_30d,log_amount_to_max_30d,amount_z_30d,night_unusual_score,currency,payment_channel,merchant_country,mcc,card_entry_mode,auth_result,pin_verif_method,recurring_flag,auth_characteristics,message_type,term_location,day_name,time_period,night_ratio_group,night_unusual_group,amount_to_max_group,ip_score_risk_group,decline_rate_risk_group,credit_util_risk_group,txn_count_7d_group,txn_velocity_group,very_low_mcc_entropy_flag,low_mcc_entropy_flag,low_night_ratio_flag,high_max_amount_30d_flag,low_spending_trend_flag,low_country_diversity_flag,night_transaction_flag,card_not_present_flag,cross_border_flag,tokenised_flag,low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_low_night_ratio_x_card_not_present,low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_low_spending_trend,low_night_ratio_x_high_max_amount_30d,low_night_ratio_x_night_transaction,low_mcc_entropy_x_card_not_present,cross_border_x_low_country_diversity,fraud,y_true,fraud_probability,y_pred,threshold,error_type
0.005,0.858,43,3,5,0.3,0,0.035,3.195,0.3477,44.0,282.0,0.15547703180212014,22,2.3646204839134985,177.48402255639098,0.008230302922113748,850.131221719457,0.995,USD,MOBILE_APP,FR,5759,MANUAL_KEYED,CVV_PASS,NONE,MOTO_PHONE,E_COMMERCE,0100-AuthReq,POS_TERMINAL,Thursday,late_evening,very_low,very_high,below_half_max,medium,medium,low,gt_20,very_low,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.8996214428759243,1,0.66,TP
0.02,1.694,1,6,18,0.295,0,0.128,1.343,0.1948,5.0,372.0,0.013404825737265416,0,2.2375130962503307,13289.660618996799,0.5706941114301635,53902.92207792208,0.98,USD,MOBILE_APP,MY,3041,MANUAL_KEYED,3DS_FAIL,ONLINE_PIN,SINGLE_PURCHASE,E_COMMERCE,0100-AuthReq,WEARABLE_PAY,Friday,night,very_low,very_high,near_max,low,medium,low,2_5,very_low,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0.7666829439530343,1,0.66,TP
0.21,0.96,43,15,24,0.111,3,0.077,0.303,0.6134,56.0,318.0,0.1755485893416928,1,1.888583653863595,12492.63388804841,0.4140634223271853,33160.923694779114,0.79,GBP,POS_TERMINAL,VN,3304,CONTACTLESS,BIOMETRIC_FAIL,ONLINE_PIN,RECURRING_SUBSCRIPTION,FALLBACK_MAG,0110-AuthRsp,KIOSK,Friday,night,low,high,near_max,high,medium,low,gt_20,very_low,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.774195596293182,1,0.66,TP
0.671,0.904,59,5,30,0.018,0,1.078,0.38,0.29,61.0,117.0,0.5169491525423728,1,1.814824742159051,3884.1254071661238,0.09669311494779272,10411.960698689956,0.32899999999999996,GBP,POS_TERMINAL,CA,5307,CONTACTLESS,BIOMETRIC_PASS,OFFLINE_PIN,SINGLE_PURCHASE,FALLBACK_MAG,0400-Reversal,MOBILE_APP,Friday,night,high,medium,below_half_max,medium,low,very_high,gt_20,medium,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.6722285147992874,1,0.66,TP
0.009,0.116,20,21,2,0.099,0,0.556,0.67,0.2559,25.0,228.0,0.1091703056768559,2,1.9600947840472698,53.1943661971831,0.004079660464769922,158.7948717948718,0.991,CNY,API_SERVER,SG,3189,TOKEN_IN_APP,3DS_FAIL,NONE,MOTO_MAIL,FORCE_POST,0420-RepeatRev,KIOSK,Friday,night,very_low,very_high,below_half_max,medium,low,medium,gt_20,very_low,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0.9416418410131222,1,0.66,TP
0.573,0.958,15,4,17,0.112,0,0.614,0.836,0.1479,6.0,424.0,0.01411764705882353,2,1.8855533485144158,11551.998482549317,0.2687967754152886,37314.74509803922,0.42700000000000005,CNY,API_SERVER,AU,3245,CHIP,3DS_FAIL,ONLINE_PIN,SINGLE_PURCHASE,FALLBACK_MAG,0500-Advice,POS_TERMINAL,Friday,night,medium,medium,below_half_max,low,medium,high,6_10,very_low,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0.9580853001958706,1,0.66,TP
0.121,0.388,115,5,9,0.26,0,0.208,2.023,0.3494,93.0,410.0,0.22627737226277372,3,2.3580197998821464,14064.450331125827,0.4983508284460343,64913.39301310043,0.879,EUR,WEB_BROWSER,MY,7571,TOKEN_IN_APP,BIOMETRIC_FAIL,OFFLINE_PIN,MOTO_PHONE,CARD_PRESENT,0420-RepeatRev,ONLINE_PORTAL,Friday,night,low,high,near_max,medium,medium,low,gt_20,low,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0.994134069485372,1,0.66,TP
0.008,1.078,96,8,10,0.218,0,0.264,2.663,0.5015,61.0,397.0,0.15326633165829145,4,2.4915511925066687,4208.867549668875,0.275032532108943,22100.886956521743,0.992,JPY,SMART_WATCH,MY,4569,CHIP,BIOMETRIC_PASS,SIGNATURE,MOTO_PHONE,CARD_PRESENT,0420-RepeatRev,KIOSK,Friday,night,very_low,very_high,below_half_max,high,medium,low,gt_20,very_low,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0.9182005828582036,1,0.66,TP
0.025,1.103,24,2,18,0.208,0,0.293,3.553,0.3405,50.0,435.0,0.11467889908256881,5,1.9300710850255671,1220.0798258345428,0.03392618286395248,3346.796812749005,0.975,EUR,WEB_BROWSER,ID,4032,QR_CODE,BIOMETRIC_PASS,NONE,MOTO_MAIL,E_COMMERCE,0400-Reversal,WEARABLE_PAY,Friday,night,very_low,very_high,below_half_max,medium,medium,low,gt_20,very_low,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.7843148649134836,1,0.66,TP
0.002,0.613,46,3,18,0.139,0,1.798,0.666,0.3309,80.0,493.0,0.16194331983805668,5,2.3739750890807185,12108.271880819366,0.5950574935058425,64372.82178217822,0.998,USD,IVR_PHONE,US,4618,QR_CODE,AVS_PASS,OFFLINE_PIN,RECURRING_SUBSCRIPTION,FORCE_POST,0200-FinReq,KIOSK,Friday,night,very_low,very_high,near_max,medium,medium,very_high,gt_20,very_low,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0.9972143414849473,1,0.66,TP
