feature,importance
numeric__mcc_entropy_30d,14.957241508033867
numeric__night_ratio_30d,10.40943758331285
numeric__log_amount_to_max_30d,9.589530616642659
numeric__spending_trend,9.103606000763433
numeric__distinct_countries_30d,8.71475220756975
numeric__amount_z_30d,7.668975161265004
numeric__decline_rate_30d,3.9249116885120734
numeric__device_diversity_30d,3.8602478097237793
numeric__credit_util_today,3.633582534573853
numeric__log_mean_amount_30d,2.4777497320362127
numeric__distinct_merchants_7d,2.0794208665518257
numeric__txn_count_ratio_7d_30d,2.0280966695136904
numeric__ip_score,1.3401260301725504
numeric__amount_to_mean_30d,1.171055934647225
numeric__txn_count_30d,1.146855053075393
numeric__hour,1.1162004790612114
numeric__txn_count_7d,0.9452065029808412
binary__cross_border_flag,0.8758262947430975
binary__high_max_amount_30d_flag,0.8253683483079443
categorical__night_ratio_group_medium,0.5561974536715457
categorical__night_ratio_group_high,0.45318427787561283
categorical__amount_to_max_group_above_max,0.32678027916203395
binary__low_country_diversity_flag,0.32390156264690845
categorical__term_location_WEARABLE_PAY,0.2936825234474295
binary__card_not_present_flag,0.2919494926616683
categorical__merchant_country_VN,0.2827910572683503
numeric__chargebacks_365d,0.27541596849054684
categorical__term_location_MOBILE_APP,0.27456322431522584
categorical__credit_util_risk_group_very_high,0.27312877989833234
categorical__time_period_evening,0.2671167923191718
numeric__night_unusual_score,0.251346929839416
binary__very_low_mcc_entropy_flag,0.24915223699911565
categorical__auth_result_BIOMETRIC_PASS,0.21586615230551107
categorical__credit_util_risk_group_high,0.2134835306018228
categorical__message_type_0200-FinReq,0.19837974545427703
categorical__card_entry_mode_CHIP,0.19165057232447397
categorical__amount_to_max_group_near_max,0.17980843404651078
categorical__night_unusual_group_low,0.17720953952037247
categorical__currency_USD,0.17400690918898026
categorical__recurring_flag_RECURRING_SUBSCRIPTION,0.17369924012783525
categorical__card_entry_mode_TOKEN_IN_APP,0.17084641400207246
categorical__message_type_0510-AdviceRsp,0.16026386609185364
categorical__merchant_country_IN,0.1602357166427002
categorical__merchant_country_TH,0.15657440689168775
categorical__card_entry_mode_QR_CODE,0.15406023507803362
categorical__auth_result_AVS_PASS,0.15394607171827868
categorical__currency_EUR,0.148027745327177
categorical__pin_verif_method_OFFLINE_PIN,0.14731286013750813
categorical__payment_channel_POS_TERMINAL,0.14511354189859135
categorical__amount_to_max_group_much_above_max,0.14396857930240345
categorical__term_location_CALL_CENTER,0.13722822626913345
categorical__day_name_Tuesday,0.1360847578756029
categorical__currency_GBP,0.13447604803427562
categorical__day_name_Thursday,0.13378862882578912
categorical__auth_characteristics_E_COMMERCE,0.1324512688099996
categorical__recurring_flag_SINGLE_PURCHASE,0.1323314940030134
categorical__auth_characteristics_FALLBACK_MAG,0.1306430550942724
categorical__payment_channel_SMART_WATCH,0.12675288143089447
categorical__merchant_country_MY,0.1258240967480762
categorical__recurring_flag_MOTO_PHONE,0.1257989431185678
categorical__time_period_afternoon,0.12448637535227829
binary__low_spending_trend_flag,0.12149718628974421
binary__low_mcc_entropy_flag,0.12119983858972816
categorical__pin_verif_method_NONE,0.12051958822817244
categorical__payment_channel_IVR_PHONE,0.11912701398645852
categorical__day_name_Monday,0.11849870486178926
categorical__term_location_BRANCH_COUNTER,0.11810674996889
categorical__day_name_Sunday,0.11746212961572577
categorical__merchant_country_FR,0.11281107772643503
categorical__decline_rate_risk_group_medium,0.11194782891588724
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,0.10802497308437571
