feature,importance
numeric__mcc_entropy_30d,14.812233557439043
numeric__night_ratio_30d,10.55906408433791
numeric__log_amount_to_max_30d,9.601595625093664
numeric__spending_trend,9.171579904258719
numeric__distinct_countries_30d,8.710230134275516
numeric__amount_z_30d,7.588294177903374
numeric__decline_rate_30d,3.88535999625161
numeric__device_diversity_30d,3.8812302938212615
numeric__credit_util_today,3.608661517533976
numeric__log_mean_amount_30d,2.5674441584862913
numeric__distinct_merchants_7d,2.14710043330622
numeric__txn_count_ratio_7d_30d,1.8272922476548499
numeric__ip_score,1.3740432313832516
numeric__txn_count_7d,1.2581558725062534
numeric__txn_count_30d,1.069979059576923
numeric__amount_to_mean_30d,1.0270301128015549
numeric__hour,1.0194608773705083
binary__cross_border_flag,0.8215004416710541
binary__high_max_amount_30d_flag,0.8181758922068146
categorical__night_ratio_group_medium,0.5061294479801954
categorical__night_ratio_group_high,0.4388098534201621
categorical__amount_to_max_group_above_max,0.3837926639706607
binary__low_country_diversity_flag,0.33484761552420306
categorical__term_location_WEARABLE_PAY,0.3271566467879458
numeric__night_unusual_score,0.3036098565254251
categorical__card_entry_mode_QR_CODE,0.29651827875714476
numeric__chargebacks_365d,0.2896053675573622
categorical__credit_util_risk_group_very_high,0.28881342547092265
binary__card_not_present_flag,0.284785516174056
categorical__merchant_country_VN,0.2837435792582506
binary__very_low_mcc_entropy_flag,0.24632850397814268
categorical__term_location_MOBILE_APP,0.21960270673135868
categorical__amount_to_max_group_near_max,0.21917133109114148
categorical__time_period_evening,0.21841465014443087
categorical__auth_result_BIOMETRIC_PASS,0.2131895931194034
categorical__time_period_afternoon,0.20546912805385378
categorical__card_entry_mode_TOKEN_IN_APP,0.19805887419920465
categorical__pin_verif_method_OFFLINE_PIN,0.19053929757854937
categorical__currency_USD,0.1804060084049242
categorical__payment_channel_SMART_WATCH,0.17859267089155587
categorical__night_unusual_group_low,0.17003317318481073
categorical__auth_characteristics_FALLBACK_MAG,0.16978355288392138
categorical__message_type_0200-FinReq,0.1691304627316131
categorical__recurring_flag_SINGLE_PURCHASE,0.16711312335901948
categorical__merchant_country_IN,0.1656495415668732
categorical__auth_result_AVS_PASS,0.16075830059210489
categorical__message_type_0510-AdviceRsp,0.1600440150329869
categorical__merchant_country_TH,0.15985847348569054
categorical__merchant_country_MY,0.15886768206765123
categorical__term_location_CALL_CENTER,0.15772073765792663
categorical__credit_util_risk_group_high,0.1552635352516588
categorical__amount_to_max_group_much_above_max,0.14767161499844558
categorical__recurring_flag_MOTO_MAIL,0.14535223902227018
categorical__card_entry_mode_CHIP,0.14372397940071396
categorical__merchant_country_US,0.14341597853297441
categorical__term_location_BRANCH_COUNTER,0.14256611716351808
categorical__currency_EUR,0.1393574894233113
categorical__day_name_Thursday,0.1375767616659691
categorical__day_name_Sunday,0.13755072772559213
categorical__recurring_flag_RECURRING_SUBSCRIPTION,0.1353422441306926
categorical__decline_rate_risk_group_low,0.13333623205080425
categorical__auth_characteristics_E_COMMERCE,0.12930549919211842
binary__low_spending_trend_flag,0.12821682091607728
categorical__day_name_Monday,0.1268917429943257
categorical__decline_rate_risk_group_medium,0.1264211526326344
categorical__auth_characteristics_FORCE_POST,0.12493729911377817
categorical__recurring_flag_MOTO_PHONE,0.12255884709120156
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,0.12144335433922897
binary__low_mcc_entropy_flag,0.12100262552085495
categorical__time_period_morning,0.11229648174333128
categorical__night_unusual_group_medium,0.10861351006583131
categorical__merchant_country_BR,0.10386753180786353
categorical__pin_verif_method_NONE,0.10053918176088114
categorical__currency_GBP,0.10027315031250118
categorical__day_name_Tuesday,0.10021768281041189
categorical__pin_verif_method_SIGNATURE,0.09934000469778875
categorical__message_type_0500-Advice,0.09898366507164791
categorical__currency_KRW,0.09882354393538101
categorical__message_type_0210-FinRsp,0.09644427488246378
categorical__ip_score_risk_group_medium,0.09634635043418277
categorical__auth_result_3DS_PASS,0.08977009615022938
categorical__txn_count_7d_group_2_5,0.08856885182021855
categorical__payment_channel_ATM,0.08609914183508133
categorical__payment_channel_MOBILE_APP,0.08465219621377698
categorical__pin_verif_method_ONLINE_PIN,0.08241886457393816
categorical__term_location_ONLINE_PORTAL,0.08232034116419455
categorical__night_ratio_group_very_low,0.08192587830342261
categorical__merchant_country_JP,0.08137285029383108
categorical__txn_count_7d_group_11_20,0.08107116296129002
categorical__term_location_KIOSK,0.077996269695912
categorical__payment_channel_POS_TERMINAL,0.07703239434112451
categorical__merchant_country_FR,0.07470363488018483
categorical__currency_CNY,0.06843295199018329
categorical__txn_velocity_group_high,0.06824641391707607
categorical__auth_result_BIOMETRIC_FAIL,0.06367364743410975
categorical__currency_HKD,0.06250641621108056
categorical__message_type_0420-RepeatRev,0.0610227295305558
categorical__merchant_country_AU,0.06100692416623734
categorical__recurring_flag_INSTALLMENT_PLAN,0.05924062217630763
categorical__payment_channel_IVR_PHONE,0.05909378073047106
binary__night_transaction_flag,0.05907518019091326
categorical__auth_result_3DS_FAIL,0.05820586856922903
categorical__amount_to_max_group_below_half_max,0.05814506881965821
categorical__currency_JPY,0.05756298119912514
categorical__credit_util_risk_group_medium,0.05717596935908439
binary__tokenised_flag,0.055517480932549865
categorical__currency_SGD,0.0554042502419287
categorical__auth_result_CVV_FAIL,0.055157098620025706
categorical__term_location_POS_TERMINAL,0.05445353873127263
categorical__merchant_country_SG,0.05439499744716432
categorical__currency_CHF,0.05410570954036882
categorical__merchant_country_CA,0.05375862620441585
categorical__currency_AUD,0.0512295135938065
categorical__currency_CAD,0.04863419232429326
categorical__merchant_country_HK,0.04856756827740324
categorical__payment_channel_API_SERVER,0.045841104770512515
categorical__message_type_0100-AuthReq,0.04544225672980109
categorical__merchant_country_ZA,0.04439582546320192
categorical__merchant_country_PH,0.03995939177763347
categorical__card_entry_mode_MANUAL_KEYED,0.03573037350068803
categorical__txn_count_7d_group_6_10,0.03468679986153366
categorical__txn_velocity_group_low,0.034558516296063914
categorical__currency_THB,0.033945239441113446
categorical__day_name_Wednesday,0.0328578206903256
categorical__currency_INR,0.0319874036980481
categorical__message_type_0110-AuthRsp,0.031186366171961497
categorical__card_entry_mode_CONTACTLESS,0.02905233612650926
categorical__card_entry_mode_MAGSTRIPE,0.028163441206811586
categorical__credit_util_risk_group_low,0.02786982854294788
