feature,importance
numeric__mcc_entropy_30d,14.728453497521247
numeric__night_ratio_30d,10.903886276914399
numeric__log_amount_to_max_30d,9.34151658042452
numeric__distinct_countries_30d,9.040227723955221
numeric__spending_trend,8.80281962335381
numeric__amount_z_30d,7.496642932480004
numeric__device_diversity_30d,3.9820421305096705
numeric__credit_util_today,3.8030228455841018
numeric__decline_rate_30d,3.7195551724220657
numeric__log_mean_amount_30d,2.426430101936109
numeric__distinct_merchants_7d,2.1184743223974127
numeric__txn_count_ratio_7d_30d,1.9808998613291726
numeric__ip_score,1.4691052225290913
numeric__txn_count_30d,1.265398327048116
numeric__amount_to_mean_30d,1.2231605986426328
numeric__txn_count_7d,1.0645910500096958
binary__high_max_amount_30d_flag,0.9183941033818265
numeric__hour,0.8908487868530507
binary__cross_border_flag,0.8215363684698176
categorical__night_ratio_group_medium,0.4628242889393448
categorical__credit_util_risk_group_very_high,0.35702821888791797
categorical__night_ratio_group_high,0.3554299457301986
numeric__night_unusual_score,0.3523461282865255
categorical__merchant_country_VN,0.3362653081414702
categorical__amount_to_max_group_above_max,0.3321080271015528
categorical__term_location_WEARABLE_PAY,0.31869672464590487
categorical__amount_to_max_group_much_above_max,0.2591355501512893
categorical__amount_to_max_group_near_max,0.23134750848939623
numeric__chargebacks_365d,0.2312344386319915
binary__low_country_diversity_flag,0.23121338077540435
categorical__day_name_Thursday,0.23112761027416748
categorical__card_entry_mode_QR_CODE,0.2199847370648422
categorical__auth_result_BIOMETRIC_PASS,0.2116910823218595
categorical__currency_USD,0.2052582527198749
binary__very_low_mcc_entropy_flag,0.20095096754557487
binary__low_spending_trend_flag,0.20088010214366972
categorical__message_type_0200-FinReq,0.19379167165515374
categorical__card_entry_mode_CHIP,0.19342833907894397
categorical__credit_util_risk_group_high,0.1877908097809177
categorical__auth_characteristics_FALLBACK_MAG,0.18722958547140844
categorical__term_location_MOBILE_APP,0.18705401466110802
categorical__recurring_flag_RECURRING_SUBSCRIPTION,0.18198099991591013
categorical__auth_characteristics_FORCE_POST,0.17970123889843018
categorical__auth_characteristics_E_COMMERCE,0.17708274648740188
binary__card_not_present_flag,0.177025966350861
categorical__day_name_Monday,0.1757378745378497
categorical__time_period_evening,0.17032987213009268
binary__tokenised_flag,0.16256997296501094
categorical__card_entry_mode_TOKEN_IN_APP,0.1619182351356781
categorical__message_type_0500-Advice,0.15803265311642667
categorical__pin_verif_method_OFFLINE_PIN,0.15585729971441467
categorical__merchant_country_TH,0.14974457495641685
categorical__time_period_morning,0.14644810928387822
categorical__auth_result_AVS_PASS,0.14644730005212112
categorical__merchant_country_IN,0.14549780177308969
categorical__night_unusual_group_medium,0.1444795283366431
categorical__currency_EUR,0.1407201454349856
categorical__payment_channel_POS_TERMINAL,0.13667618759702735
categorical__merchant_country_FR,0.13649185841055372
categorical__merchant_country_BR,0.13127987057880022
categorical__day_name_Sunday,0.12880234277094532
categorical__pin_verif_method_NONE,0.12744104679772578
categorical__message_type_0510-AdviceRsp,0.1260343721401634
categorical__merchant_country_MY,0.1256726359618952
categorical__time_period_afternoon,0.12566290308723446
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,0.11796294655056824
categorical__ip_score_risk_group_medium,0.11477889926749905
categorical__day_name_Wednesday,0.10799762538139636
