feature,importance
numeric__mcc_entropy_30d,1632
numeric__log_amount_to_max_30d,1597
numeric__spending_trend,1588
numeric__night_ratio_30d,1539
numeric__amount_z_30d,1452
numeric__distinct_countries_30d,1181
numeric__credit_util_today,1068
numeric__decline_rate_30d,1058
numeric__device_diversity_30d,838
numeric__log_mean_amount_30d,708
numeric__distinct_merchants_7d,692
numeric__txn_count_ratio_7d_30d,646
numeric__ip_score,641
numeric__txn_count_30d,636
numeric__amount_to_mean_30d,628
numeric__txn_count_7d,451
numeric__hour,400
numeric__night_unusual_score,241
numeric__chargebacks_365d,108
binary__cross_border_flag,82
binary__low_country_diversity_flag,81
categorical__term_location_WEARABLE_PAY,79
binary__card_not_present_flag,73
binary__high_max_amount_30d_flag,66
categorical__night_ratio_group_high,66
categorical__term_location_ONLINE_PORTAL,61
categorical__night_ratio_group_medium,60
categorical__currency_USD,55
categorical__merchant_country_VN,54
categorical__recurring_flag_MOTO_MAIL,54
categorical__card_entry_mode_QR_CODE,52
categorical__amount_to_max_group_above_max,51
interaction__low_mcc_entropy_x_high_max_amount_30d,51
categorical__pin_verif_method_NONE,51
interaction__low_mcc_entropy_x_low_spending_trend,49
categorical__time_period_evening,48
categorical__auth_result_BIOMETRIC_FAIL,47
categorical__message_type_0200-FinReq,47
categorical__recurring_flag_MOTO_PHONE,46
categorical__card_entry_mode_MANUAL_KEYED,46
categorical__term_location_MOBILE_APP,43
categorical__term_location_CALL_CENTER,42
categorical__auth_result_BIOMETRIC_PASS,41
categorical__recurring_flag_RECURRING_SUBSCRIPTION,41
categorical__auth_characteristics_E_COMMERCE,41
categorical__card_entry_mode_CHIP,40
categorical__time_period_morning,40
categorical__day_name_Thursday,40
categorical__merchant_country_US,40
categorical__amount_to_max_group_near_max,40
categorical__pin_verif_method_ONLINE_PIN,39
categorical__auth_result_3DS_PASS,38
categorical__message_type_0500-Advice,38
categorical__message_type_0400-Reversal,38
categorical__day_name_Saturday,37
categorical__auth_result_AVS_FAIL,36
categorical__day_name_Sunday,36
categorical__merchant_country_AU,35
categorical__txn_count_7d_group_2_5,35
categorical__day_name_Tuesday,34
categorical__day_name_Wednesday,34
categorical__card_entry_mode_TOKEN_IN_APP,34
categorical__auth_result_AVS_PASS,34
categorical__payment_channel_WEB_BROWSER,34
categorical__payment_channel_SMART_WATCH,33
categorical__pin_verif_method_SIGNATURE,33
binary__low_mcc_entropy_flag,33
categorical__amount_to_max_group_much_above_max,32
categorical__recurring_flag_SINGLE_PURCHASE,32
categorical__pin_verif_method_OFFLINE_PIN,32
binary__very_low_mcc_entropy_flag,32
categorical__day_name_Monday,30
categorical__recurring_flag_INSTALLMENT_PLAN,30
categorical__auth_characteristics_FORCE_POST,29
categorical__auth_characteristics_FALLBACK_MAG,29
categorical__auth_result_CVV_FAIL,29
categorical__card_entry_mode_MAGSTRIPE,28
categorical__night_unusual_group_low,28
interaction__low_night_ratio_x_high_max_amount_30d,28
categorical__time_period_afternoon,28
categorical__currency_CNY,27
categorical__currency_EUR,26
categorical__payment_channel_POS_TERMINAL,26
categorical__merchant_country_DE,26
categorical__term_location_BRANCH_COUNTER,26
categorical__payment_channel_MOBILE_APP,25
categorical__merchant_country_SG,25
binary__tokenised_flag,25
categorical__ip_score_risk_group_medium,25
categorical__day_name_Friday,24
categorical__currency_INR,24
categorical__night_ratio_group_low,24
categorical__night_unusual_group_medium,24
categorical__auth_result_CVV_PASS,23
categorical__auth_characteristics_MOBILE_TOKEN,23
categorical__night_ratio_group_very_low,23
categorical__message_type_0510-AdviceRsp,23
categorical__payment_channel_ATM,23
categorical__credit_util_risk_group_very_high,22
categorical__message_type_0210-FinRsp,22
categorical__payment_channel_IVR_PHONE,22
binary__low_spending_trend_flag,21
categorical__merchant_country_CA,21
categorical__merchant_country_TH,20
categorical__card_entry_mode_CONTACTLESS,20
categorical__txn_count_7d_group_11_20,20
categorical__amount_to_max_group_below_half_max,20
categorical__currency_GBP,19
categorical__merchant_country_IN,19
categorical__merchant_country_ZA,19
categorical__term_location_POS_TERMINAL,18
categorical__term_location_KIOSK,18
categorical__auth_characteristics_CARD_PRESENT,18
categorical__message_type_0420-RepeatRev,18
interaction__low_mcc_entropy_x_card_not_present,18
categorical__currency_KRW,18
categorical__message_type_0110-AuthRsp,17
categorical__merchant_country_AE,17
categorical__merchant_country_HK,17
categorical__merchant_country_MY,16
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,16
categorical__decline_rate_risk_group_medium,16
categorical__payment_channel_API_SERVER,15
categorical__merchant_country_CN,15
categorical__merchant_country_BR,15
categorical__merchant_country_JP,15
categorical__credit_util_risk_group_medium,15
categorical__currency_AUD,14
categorical__txn_velocity_group_low,14
categorical__merchant_country_PH,14
categorical__currency_JPY,14
categorical__txn_velocity_group_medium,14
categorical__message_type_0100-AuthReq,13
categorical__auth_result_3DS_FAIL,13
categorical__credit_util_risk_group_low,12
categorical__decline_rate_risk_group_low,12
categorical__merchant_country_KR,12
categorical__txn_count_7d_group_6_10,11
categorical__currency_CAD,10
categorical__credit_util_risk_group_high,10
binary__low_night_ratio_flag,10
categorical__currency_SGD,9
categorical__currency_VND,9
interaction__low_mcc_entropy_x_low_night_ratio_x_card_not_present,8
categorical__currency_HKD,8
categorical__currency_THB,8
categorical__currency_CHF,7
categorical__decline_rate_risk_group_high,7
categorical__time_period_night,7
categorical__merchant_country_FR,7
categorical__merchant_country_ID,7
categorical__amount_to_max_group_extreme,7
categorical__merchant_country_GB,6
categorical__time_period_late_evening,6
categorical__currency_IDR,5
categorical__ip_score_risk_group_low,5
categorical__txn_count_7d_group_gt_20,5
binary__night_transaction_flag,4
categorical__ip_score_risk_group_high,4
categorical__night_unusual_group_very_high,3
interaction__cross_border_x_low_country_diversity,3
categorical__txn_velocity_group_high,3
categorical__night_unusual_group_not_night,2
interaction__low_mcc_entropy_x_low_night_ratio,2
categorical__txn_velocity_group_very_low,2
categorical__night_unusual_group_high,2
categorical__txn_count_7d_group_0_1,2
interaction__low_night_ratio_x_night_transaction,1
categorical__night_ratio_group_infrequent_sklearn,0
categorical__ip_score_risk_group_very_high,0
categorical__decline_rate_risk_group_infrequent_sklearn,0
