feature,importance
categorical__night_ratio_group_high,0.055220895
binary__low_mcc_entropy_flag,0.040367305
binary__low_night_ratio_flag,0.02650805
numeric__mcc_entropy_30d,0.024912326
binary__low_spending_trend_flag,0.016045166
binary__high_max_amount_30d_flag,0.015310999
numeric__night_ratio_30d,0.0151301045
numeric__spending_trend,0.014048397
numeric__distinct_countries_30d,0.012674772
categorical__night_ratio_group_very_low,0.011561471
numeric__log_amount_to_max_30d,0.010255603
categorical__night_ratio_group_medium,0.009776993
categorical__amount_to_max_group_extreme,0.00907993
interaction__low_night_ratio_x_high_max_amount_30d,0.008756786
binary__very_low_mcc_entropy_flag,0.0079324385
binary__low_country_diversity_flag,0.007838757
numeric__amount_z_30d,0.0074946447
categorical__txn_count_7d_group_0_1,0.007253105
categorical__txn_velocity_group_medium,0.007212896
categorical__amount_to_max_group_below_half_max,0.007132032
categorical__credit_util_risk_group_very_high,0.0069628083
categorical__ip_score_risk_group_low,0.0069363103
numeric__device_diversity_30d,0.0068816305
categorical__currency_CHF,0.006716138
numeric__decline_rate_30d,0.0066735544
categorical__amount_to_max_group_much_above_max,0.006670956
categorical__night_unusual_group_not_night,0.006584639
categorical__txn_count_7d_group_2_5,0.0064982367
categorical__message_type_0200-FinReq,0.006415132
categorical__amount_to_max_group_above_max,0.006319162
categorical__currency_AUD,0.0062973876
categorical__time_period_late_evening,0.006268774
binary__cross_border_flag,0.0061926055
categorical__credit_util_risk_group_high,0.0061412053
categorical__card_entry_mode_CHIP,0.0060932906
categorical__auth_result_CVV_PASS,0.005981297
categorical__currency_HKD,0.005971627
categorical__currency_INR,0.0059497436
categorical__auth_characteristics_MOBILE_TOKEN,0.005940791
numeric__credit_util_today,0.005932878
categorical__txn_velocity_group_low,0.005900365
numeric__txn_count_ratio_7d_30d,0.0058391313
categorical__txn_count_7d_group_6_10,0.0057997494
categorical__recurring_flag_SINGLE_PURCHASE,0.0057605566
interaction__low_mcc_entropy_x_high_max_amount_30d,0.0057281763
categorical__day_name_Sunday,0.005713297
categorical__term_location_WEARABLE_PAY,0.005669949
categorical__term_location_MOBILE_APP,0.00558831
categorical__txn_velocity_group_very_low,0.0055710324
categorical__payment_channel_ATM,0.005570931
categorical__night_unusual_group_low,0.005562461
categorical__merchant_country_TH,0.0055015157
categorical__auth_characteristics_E_COMMERCE,0.0054907184
binary__night_transaction_flag,0.005429678
categorical__auth_result_AVS_PASS,0.005413292
categorical__decline_rate_risk_group_low,0.005400318
categorical__card_entry_mode_TOKEN_IN_APP,0.005381902
numeric__distinct_merchants_7d,0.005372173
numeric__log_mean_amount_30d,0.005302631
categorical__merchant_country_VN,0.005299131
categorical__auth_result_BIOMETRIC_PASS,0.005277083
categorical__pin_verif_method_OFFLINE_PIN,0.005255877
categorical__message_type_0500-Advice,0.0052070976
numeric__hour,0.0052016443
numeric__amount_to_mean_30d,0.0051543233
categorical__auth_result_3DS_PASS,0.0051216716
categorical__recurring_flag_RECURRING_SUBSCRIPTION,0.005101394
numeric__txn_count_7d,0.0050573074
categorical__merchant_country_BR,0.0050538355
categorical__merchant_country_US,0.0050520776
numeric__ip_score,0.0050395904
categorical__merchant_country_CA,0.0050343266
categorical__credit_util_risk_group_medium,0.0050315442
categorical__time_period_evening,0.005030794
categorical__time_period_morning,0.004969801
categorical__auth_result_AVS_FAIL,0.004953821
categorical__decline_rate_risk_group_high,0.004930457
categorical__currency_SGD,0.0048866826
categorical__currency_JPY,0.0048477766
categorical__merchant_country_ZA,0.004842144
categorical__recurring_flag_MOTO_MAIL,0.004777972
categorical__amount_to_max_group_near_max,0.004759887
categorical__card_entry_mode_QR_CODE,0.0047571044
categorical__ip_score_risk_group_medium,0.0047308346
categorical__currency_GBP,0.0047127176
numeric__txn_count_30d,0.0047051897
categorical__currency_CNY,0.004696812
numeric__chargebacks_365d,0.004681866
categorical__merchant_country_PH,0.0046595046
categorical__pin_verif_method_ONLINE_PIN,0.004655759
categorical__message_type_0210-FinRsp,0.0046551246
categorical__time_period_afternoon,0.004612447
categorical__card_entry_mode_MAGSTRIPE,0.004608615
categorical__auth_result_3DS_FAIL,0.0045979093
categorical__merchant_country_CN,0.0045911167
categorical__term_location_ONLINE_PORTAL,0.0045595593
categorical__merchant_country_JP,0.004556337
categorical__day_name_Thursday,0.004553678
categorical__txn_velocity_group_high,0.004550257
interaction__cross_border_x_low_country_diversity,0.0044787573
binary__tokenised_flag,0.004463696
categorical__payment_channel_MOBILE_APP,0.0044606086
categorical__day_name_Monday,0.0044485116
categorical__ip_score_risk_group_high,0.0044483934
numeric__night_unusual_score,0.0044264854
categorical__currency_KRW,0.0044071814
interaction__low_mcc_entropy_x_low_spending_trend,0.0043502776
categorical__merchant_country_AU,0.004318783
categorical__message_type_0510-AdviceRsp,0.0043140133
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,0.004313384
categorical__card_entry_mode_MANUAL_KEYED,0.004302311
categorical__currency_THB,0.0042771846
categorical__payment_channel_POS_TERMINAL,0.0042552836
categorical__decline_rate_risk_group_medium,0.0042450028
categorical__day_name_Saturday,0.004242351
categorical__term_location_CALL_CENTER,0.0042320844
categorical__merchant_country_IN,0.0042212154
categorical__merchant_country_GB,0.004200102
binary__card_not_present_flag,0.004156506
categorical__merchant_country_SG,0.004152588
categorical__payment_channel_SMART_WATCH,0.004151514
categorical__pin_verif_method_NONE,0.0041486532
categorical__currency_VND,0.0041103233
categorical__auth_characteristics_FORCE_POST,0.004081056
categorical__payment_channel_WEB_BROWSER,0.0040624575
categorical__currency_USD,0.004053466
categorical__recurring_flag_INSTALLMENT_PLAN,0.0040514017
categorical__payment_channel_IVR_PHONE,0.004036802
categorical__message_type_0400-Reversal,0.0039635478
categorical__term_location_BRANCH_COUNTER,0.003960287
categorical__auth_characteristics_CARD_PRESENT,0.0039508706
categorical__day_name_Friday,0.0039329864
categorical__night_unusual_group_high,0.0039026649
categorical__day_name_Wednesday,0.0038698714
categorical__message_type_0110-AuthRsp,0.0038619412
categorical__auth_result_BIOMETRIC_FAIL,0.003855564
categorical__auth_characteristics_FALLBACK_MAG,0.0038422942
categorical__merchant_country_HK,0.0038255637
categorical__auth_result_CVV_FAIL,0.0038034667
categorical__day_name_Tuesday,0.003802829
categorical__merchant_country_AE,0.0037895862
categorical__card_entry_mode_CONTACTLESS,0.0037434169
categorical__currency_EUR,0.0037419524
categorical__recurring_flag_MOTO_PHONE,0.0037064839
categorical__merchant_country_MY,0.003637884
categorical__merchant_country_KR,0.003615886
categorical__night_unusual_group_medium,0.0035401299
categorical__currency_IDR,0.003532165
categorical__term_location_POS_TERMINAL,0.0035316213
categorical__pin_verif_method_SIGNATURE,0.0034226123
categorical__merchant_country_FR,0.0034027342
categorical__term_location_KIOSK,0.0033079947
categorical__txn_count_7d_group_11_20,0.0032823978
categorical__payment_channel_API_SERVER,0.0032769446
categorical__currency_CAD,0.0031956353
categorical__night_unusual_group_very_high,0.0031634464
categorical__night_ratio_group_low,0.0030595136
interaction__low_mcc_entropy_x_low_night_ratio,0.0029565154
categorical__night_ratio_group_infrequent_sklearn,0.0029427812
categorical__message_type_0100-AuthReq,0.0028841957
categorical__credit_util_risk_group_low,0.0028233216
categorical__message_type_0420-RepeatRev,0.0027924092
categorical__merchant_country_DE,0.0027503527
interaction__low_mcc_entropy_x_card_not_present,0.0025499775
categorical__txn_count_7d_group_gt_20,0.0023793667
categorical__merchant_country_ID,0.0021799994
categorical__time_period_night,0.0021591661
interaction__low_mcc_entropy_x_low_night_ratio_x_card_not_present,0.0019411697
categorical__mcc_infrequent_sklearn,0.0
categorical__ip_score_risk_group_very_high,0.0
categorical__decline_rate_risk_group_infrequent_sklearn,0.0
interaction__low_night_ratio_x_night_transaction,0.0
