feature,importance
binary__low_mcc_entropy_flag,0.048343904
categorical__night_ratio_group_high,0.044394348
numeric__mcc_entropy_30d,0.024265407
binary__low_night_ratio_flag,0.02281984
categorical__night_ratio_group_very_low,0.019496249
binary__low_spending_trend_flag,0.016843908
binary__high_max_amount_30d_flag,0.015467425
numeric__night_ratio_30d,0.014789889
numeric__spending_trend,0.013794978
numeric__distinct_countries_30d,0.012506314
binary__night_transaction_flag,0.011120044
categorical__night_ratio_group_medium,0.010578572
categorical__credit_util_risk_group_very_high,0.010255442
numeric__log_amount_to_max_30d,0.01007349
categorical__night_unusual_group_low,0.009518997
interaction__low_night_ratio_x_high_max_amount_30d,0.009477743
categorical__amount_to_max_group_extreme,0.008945029
binary__low_country_diversity_flag,0.008548697
categorical__night_ratio_group_low,0.008177271
categorical__night_unusual_group_not_night,0.007690931
categorical__amount_to_max_group_below_half_max,0.007458166
numeric__amount_z_30d,0.0072898977
numeric__device_diversity_30d,0.006954094
categorical__amount_to_max_group_above_max,0.006892015
categorical__txn_count_7d_group_6_10,0.0068063173
categorical__amount_to_max_group_much_above_max,0.0065951417
categorical__card_entry_mode_TOKEN_IN_APP,0.0065808436
numeric__decline_rate_30d,0.006505914
interaction__low_mcc_entropy_x_high_max_amount_30d,0.0065010563
categorical__txn_velocity_group_medium,0.0062463535
categorical__credit_util_risk_group_medium,0.0060979635
binary__cross_border_flag,0.0060182447
categorical__card_entry_mode_CHIP,0.005984691
categorical__txn_count_7d_group_2_5,0.0059687532
numeric__credit_util_today,0.005842981
categorical__currency_CHF,0.0058315177
categorical__term_location_WEARABLE_PAY,0.005802404
categorical__auth_result_3DS_PASS,0.005784203
categorical__message_type_0200-FinReq,0.005780126
categorical__decline_rate_risk_group_high,0.005710377
categorical__auth_result_AVS_PASS,0.005706656
numeric__txn_count_ratio_7d_30d,0.005655069
categorical__day_name_Thursday,0.0054676323
categorical__txn_velocity_group_low,0.0054556946
categorical__currency_INR,0.0054473868
categorical__merchant_country_ZA,0.005371361
categorical__recurring_flag_RECURRING_SUBSCRIPTION,0.0053263353
numeric__amount_to_mean_30d,0.005323433
categorical__txn_velocity_group_high,0.005311198
categorical__merchant_country_TH,0.0052874098
categorical__time_period_evening,0.0052775163
categorical__day_name_Sunday,0.005269126
categorical__auth_result_BIOMETRIC_PASS,0.005262002
categorical__merchant_country_PH,0.005253035
categorical__pin_verif_method_OFFLINE_PIN,0.0052465172
categorical__credit_util_risk_group_high,0.0052166185
categorical__currency_USD,0.0052060364
categorical__currency_JPY,0.005196039
categorical__recurring_flag_SINGLE_PURCHASE,0.0051608323
categorical__currency_AUD,0.005160391
numeric__distinct_merchants_7d,0.005156972
numeric__ip_score,0.0051382664
categorical__term_location_CALL_CENTER,0.0051330198
categorical__time_period_morning,0.005117245
categorical__payment_channel_ATM,0.005116538
interaction__low_mcc_entropy_x_low_spending_trend,0.005107395
numeric__hour,0.0051017143
categorical__merchant_country_CA,0.0050832923
categorical__auth_characteristics_E_COMMERCE,0.0050535654
numeric__txn_count_7d,0.0050183614
categorical__payment_channel_MOBILE_APP,0.0050060013
categorical__merchant_country_CN,0.004991057
