rule,support,support_rate,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,order,strength,business_interpretation
low_night_ratio_flag AND low_mcc_entropy_x_card_not_present,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,2,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,2,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,2,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy_flag AND low_night_ratio_flag AND card_not_present_flag,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy_flag AND low_night_ratio_flag AND low_mcc_entropy_x_card_not_present,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy_flag AND card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy_flag AND low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_night_ratio_flag AND card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_night_ratio_flag AND card_not_present_flag AND low_mcc_entropy_x_card_not_present,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_night_ratio_flag AND low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
