rule,feature_a,value_a,feature_b,value_b,support,support_rate,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,order,strength,business_interpretation
payment_channel=SMART_WATCH AND merchant_country=ZA,payment_channel,SMART_WATCH,merchant_country,ZA,471,0.006728571428571428,24,0.050955414012738856,0.025471428571428572,0.025483985441310284,2.000492978626876,2,MEDIUM,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=IVR_PHONE AND merchant_country=TH,payment_channel,IVR_PHONE,merchant_country,TH,496,0.0070857142857142855,21,0.04233870967741935,0.025471428571428572,0.01686728110599078,1.6622039693883088,2,WEAK,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=WEB_BROWSER AND merchant_country=US,payment_channel,WEB_BROWSER,merchant_country,US,496,0.0070857142857142855,20,0.04032258064516129,0.025471428571428572,0.014851152073732717,1.583051399417437,2,WEAK,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
time_period=late_evening AND payment_channel=SMART_WATCH,time_period,late_evening,payment_channel,SMART_WATCH,887,0.012671428571428571,35,0.03945885005636979,0.025471428571428572,0.013987421484941216,1.5491416174682473,2,WEAK,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=SMART_WATCH AND merchant_country=CA,payment_channel,SMART_WATCH,merchant_country,CA,524,0.007485714285714286,20,0.03816793893129771,0.025471428571428572,0.012696510359869139,1.498460866624139,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=IVR_PHONE AND merchant_country=CN,payment_channel,IVR_PHONE,merchant_country,CN,499,0.0071285714285714286,19,0.03807615230460922,0.025471428571428572,0.01260472373318065,1.494857353518029,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=API_SERVER AND merchant_country=VN,payment_channel,API_SERVER,merchant_country,VN,509,0.007271428571428571,19,0.03732809430255403,0.025471428571428572,0.011856665731125458,1.4654888396964565,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=MOBILE_APP AND merchant_country=AE,payment_channel,MOBILE_APP,merchant_country,AE,487,0.006957142857142857,18,0.03696098562628337,0.025471428571428572,0.011489557054854795,1.4510762724844843,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
day_name=Saturday AND payment_channel=MOBILE_APP,day_name,Saturday,payment_channel,MOBILE_APP,1469,0.020985714285714285,54,0.03675970047651463,0.025471428571428572,0.01128827190508606,1.4431738829815055,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=CHIP AND auth_result=AVS_PASS,card_entry_mode,CHIP,auth_result,AVS_PASS,1453,0.020757142857142856,53,0.0364762560220234,0.025471428571428572,0.01100482745059483,1.432045945901087,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=SMART_WATCH AND merchant_country=DE,payment_channel,SMART_WATCH,merchant_country,DE,494,0.007057142857142857,18,0.03643724696356275,0.025471428571428572,0.010965818392134178,1.430514462955352,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=SMART_WATCH AND merchant_country=HK,payment_channel,SMART_WATCH,merchant_country,HK,496,0.0070857142857142855,18,0.036290322580645164,0.025471428571428572,0.010818894009216592,1.4247462594756934,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=SMART_WATCH AND term_location=WEARABLE_PAY,payment_channel,SMART_WATCH,term_location,WEARABLE_PAY,1440,0.02057142857142857,52,0.03611111111111111,0.025471428571428572,0.010639682539682536,1.4177104754782823,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=WEB_BROWSER AND merchant_country=MY,payment_channel,WEB_BROWSER,merchant_country,MY,499,0.0071285714285714286,18,0.036072144288577156,0.025471428571428572,0.010600715717148584,1.4161806507012904,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=IVR_PHONE AND merchant_country=SG,payment_channel,IVR_PHONE,merchant_country,SG,501,0.007157142857142857,18,0.03592814371257485,0.025471428571428572,0.010456715141146277,1.4105272349300277,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=API_SERVER AND merchant_country=IN,payment_channel,API_SERVER,merchant_country,IN,474,0.0067714285714285715,17,0.035864978902953586,0.025471428571428572,0.010393550331525014,1.4080474050514586,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
card_entry_mode=MAGSTRIPE AND auth_result=3DS_FAIL,card_entry_mode,MAGSTRIPE,auth_result,3DS_FAIL,1450,0.020714285714285713,52,0.03586206896551724,0.025471428571428572,0.010390640394088668,1.4079331618542943,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=POS_TERMINAL AND merchant_country=PH,payment_channel,POS_TERMINAL,merchant_country,PH,481,0.006871428571428572,17,0.035343035343035345,0.025471428571428572,0.009871606771606773,1.3875560706744106,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
