rule,support,support_rate,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,order,strength,business_interpretation
low_mcc_entropy AND low_night_ratio AND high_max_amount_30d,74,0.0010571428571428572,39,0.527027027027027,0.025471428571428572,0.5015555984555984,20.69090964211547,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy AND low_night_ratio AND card_not_present,479,0.006842857142857143,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy AND low_night_ratio,696,0.009942857142857142,181,0.2600574712643678,0.025471428571428572,0.23458604269293923,10.20977172658763,2,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng."
low_mcc_entropy AND low_spending_trend,733,0.01047142857142857,175,0.23874488403819918,0.025471428571428572,0.21327345546677062,9.37304648495454,2,VERY_STRONG,User có ngành hàng giao dịch hẹp và xu hướng chi tiêu thấp hoặc giảm. Nếu phát sinh giao dịch mới lệch khỏi hành vi này thì rủi ro tăng.
low_mcc_entropy AND high_max_amount_30d,713,0.010185714285714286,162,0.22720897615708274,0.025471428571428572,0.20173754758565418,8.920150494108688,2,VERY_STRONG,User có hành vi ngành hàng hẹp nhưng có lịch sử giao dịch giá trị rất cao. Nhóm này cần kiểm tra vì có thể phản ánh hành vi bất thường trong lịch sử gần.
low_night_ratio AND high_max_amount_30d,728,0.0104,124,0.17032967032967034,0.025471428571428572,0.14485824175824177,6.687087449846844,2,VERY_STRONG,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
low_mcc_entropy AND card_not_present,4570,0.06528571428571428,419,0.09168490153172866,0.025471428571428572,0.06621347296030008,3.5995194095462737,2,STRONG,"Giao dịch không có thẻ vật lý. Với fraud online, card-not-present thường cần soi kỹ, đặc biệt khi đi kèm tín hiệu bất thường khác."
low_night_ratio AND night_transaction,2401,0.0343,171,0.07122032486463974,0.025471428571428572,0.04574889629321116,2.796086786609524,2,MEDIUM,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
cross_border AND low_country_diversity,1692,0.024171428571428573,86,0.0508274231678487,0.025471428571428572,0.025355994596420125,1.9954680996911995,2,WEAK,Giao dịch xuyên biên giới trong khi user có lịch sử giao dịch ở ít quốc gia. Đây là tín hiệu country anomaly.
high_ip_score AND card_not_present,4474,0.06391428571428572,113,0.025257040679481448,0.025471428571428572,-0.0002143878919471237,0.9915832011013468,2,LOW_SIGNAL,"Giao dịch không có thẻ vật lý. Với fraud online, card-not-present thường cần soi kỹ, đặc biệt khi đi kèm tín hiệu bất thường khác."
high_device_diversity AND card_not_present,5657,0.08081428571428571,78,0.013788226975428673,0.025471428571428572,-0.0116832015959999,0.5413213058216528,2,LOW_SIGNAL,"Giao dịch không có thẻ vật lý. Với fraud online, card-not-present thường cần soi kỹ, đặc biệt khi đi kèm tín hiệu bất thường khác."
high_decline_rate AND card_not_present,4577,0.06538571428571428,62,0.013545990823683636,0.025471428571428572,-0.011925437747744936,0.5318111933022179,2,LOW_SIGNAL,"Giao dịch không có thẻ vật lý. Với fraud online, card-not-present thường cần soi kỹ, đặc biệt khi đi kèm tín hiệu bất thường khác."
