feature,value,count_train,fraud_count_train,fraud_rate_train,global_fraud_rate_train,fraud_rate_diff_train,lift_train,count_valid,fraud_count_valid,fraud_rate_valid,global_fraud_rate_valid,fraud_rate_diff_valid,lift_valid,lift_diff_valid_train,lift_ratio_valid_train,fraud_rate_diff_valid_train
low_mcc_entropy_x_high_max_amount_30d,1,713,162,0.22720897615708274,0.025471428571428572,0.20173754758565418,8.920150494108688,150,34,0.22666666666666666,0.0252,0.20146666666666666,8.994708994708994,0.07455850060030578,1.008358435167791,-0.0005423094904160874
low_mcc_entropy_x_low_night_ratio,1,696,181,0.2600574712643678,0.025471428571428572,0.23458604269293923,10.20977172658763,159,36,0.22641509433962265,0.0252,0.20121509433962265,8.984725965858042,-1.2250457607295893,0.8800124239389784,-0.03364237692474514
low_night_ratio_x_high_max_amount_30d,1,728,124,0.17032967032967034,0.025471428571428572,0.14485824175824177,6.687087449846844,157,32,0.20382165605095542,0.0252,0.17862165605095542,8.088160954402992,1.4010735045561482,1.2095192434456226,0.03349198572128509
low_mcc_entropy_x_low_spending_trend,1,733,175,0.23874488403819918,0.025471428571428572,0.21327345546677062,9.37304648495454,130,26,0.2,0.0252,0.1748,7.936507936507937,-1.4365385484466024,0.8467372853000091,-0.03874488403819917
night_unusual_group,very_high,2339,167,0.07139803334758443,0.025471428571428572,0.04592660477615586,2.80306356384235,496,41,0.08266129032258064,0.0252,0.05746129032258064,3.2802099334357395,0.4771463695933895,1.170223171025458,0.011263256974996208
low_mcc_entropy_x_card_not_present,1,4570,419,0.09168490153172866,0.025471428571428572,0.06621347296030008,3.5995194095462737,969,70,0.07223942208462332,0.0252,0.04703942208462332,2.8666437335167982,-0.7328756760294755,0.7963962425422086,-0.01944547944710534
night_ratio_group,very_low,6924,503,0.07264586943963028,0.025471428571428572,0.0471744408682017,2.8520532029019177,1503,108,0.0718562874251497,0.0252,0.0466562874251497,2.85143997718848,-0.0006132257134376928,0.9997849876318581,-0.0007895820144805804
cross_border_x_low_country_diversity,1,1692,86,0.0508274231678487,0.025471428571428572,0.025355994596420125,1.9954680996911995,400,26,0.065,0.0252,0.0398,2.5793650793650795,0.58389697967388,1.2926115323375136,0.014172576832151305
night_ratio_group,low,14006,622,0.04440953876909896,0.025471428571428572,0.018938110197670385,1.7435040458984448,3085,133,0.043111831442463534,0.0252,0.017911831442463534,1.7107869620025211,-0.03271708389592365,0.9812348672467237,-0.0012977073266354222
credit_util_risk_group,low,10611,381,0.035906135142776366,0.025471428571428572,0.010434706571347794,1.4096631856390047,2284,97,0.04246935201401051,0.0252,0.01726935201401051,1.6852917465877186,0.2756285609487139,1.1955279548768543,0.006563216871234144
night_unusual_group,high,7144,294,0.04115341545352744,0.025471428571428572,0.015681986882098865,1.615669703727942,1406,58,0.041251778093883355,0.0252,0.016051778093883355,1.6369753211858473,0.02130561745790538,1.0131868638717174,9.836264035591874e-05
amount_to_max_group,below_half_max,21845,777,0.03556878004119936,0.025471428571428572,0.010097351469770786,1.396418734090833,4602,174,0.03780964797913951,0.0252,0.012609647979139507,1.5003828563150599,0.10396412222422691,1.074450534507806,0.0022408679379401497
decline_rate_risk_group,low,16873,630,0.03733775854916138,0.025471428571428572,0.01186632997773281,1.4658682548745354,3634,136,0.03742432581177765,0.0252,0.012224325811777653,1.4850922941181608,0.019224039243625368,1.0131144379220876,8.656726261627168e-05
amount_to_max_group,near_max,19962,693,0.034715960324616775,0.025471428571428572,0.009244531753188203,1.3629373094353192,4312,136,0.03153988868274583,0.0252,0.006339888682745827,1.2515828842359455,-0.11135442519937366,0.9182982039256029,-0.003176071641870948
