feature,bin,count_train,fraud_count_train,fraud_rate_train,global_fraud_rate_train,fraud_rate_diff_train,lift_train,count_valid,fraud_count_valid,fraud_rate_valid,global_fraud_rate_valid,fraud_rate_diff_valid,lift_valid,lift_diff_valid_train,lift_ratio_valid_train,fraud_rate_diff_valid_train
max_amount_30d,"(225176.777, inf]",7000,439,0.06271428571428571,0.025471428571428572,0.03724285714285713,2.462142456533931,1444,115,0.0796398891966759,0.0252,0.0544398891966759,3.160313063360155,0.6981706068262237,1.2835622299960285,0.016925603482390195
mcc_entropy_30d,"(-inf, 0.393]",7009,625,0.08917106577257812,0.025471428571428572,0.06369963720114954,3.500827035378838,1525,112,0.07344262295081967,0.0252,0.04824262295081967,2.914389799635701,-0.5864372357431371,0.8324860866734701,-0.015728442821758448
night_ratio_30d,"(-inf, 0.101]",7038,511,0.0726058539357772,0.025471428571428572,0.04713442536434863,2.850482207237467,1531,111,0.07250163291966036,0.0252,0.04730163291966036,2.8770489253833476,0.026566718145880408,1.0093200782201364,-0.00010422101611684553
spending_trend,"(-inf, 0.584]",7002,463,0.06612396458154812,0.025471428571428572,0.04065253601011955,2.59600533971305,1400,89,0.06357142857142857,0.0252,0.03837142857142857,2.522675736961451,-0.07332960275159905,0.9717529072064784,-0.002552536010119552
distinct_countries_30d,"(-inf, 3.0]",8464,525,0.06202741020793951,0.025471428571428572,0.03655598163651094,2.435175947591568,1842,114,0.06188925081433225,0.0252,0.03668925081433225,2.455922651362391,0.020746703770822883,1.008519590866862,-0.00013815939360726365
mcc_entropy_30d,"(0.393, 0.788]",6992,413,0.059067505720823796,0.025471428571428572,0.03359607714939522,2.3189710602679,1405,85,0.060498220640569395,0.0252,0.035298220640569394,2.4007230412924363,0.0817519810245364,1.0352535576618358,0.0014307149197455987
night_unusual_score,"(0.705, inf]",6991,381,0.054498641109998566,0.025471428571428572,0.029027212538569994,2.139598921873191,1410,84,0.059574468085106386,0.0252,0.034374468085106386,2.364066193853428,0.2244672719802372,1.104910910442415,0.0050758269751078194
spending_trend,"(0.584, 1.073]",7008,331,0.04723173515981735,0.025471428571428572,0.02176030658838878,1.854302558153233,1522,81,0.053219448094612355,0.0252,0.028019448094612355,2.1118828608973157,0.2575803027440826,1.1389095325747198,0.0059877129347950045
std_amount_30d,"(1.12, 1.25]",6710,292,0.04351713859910581,0.025471428571428572,0.01804571002767724,1.708468705517334,1392,73,0.05244252873563218,0.0252,0.027242528735632182,2.0810527276044515,0.3725840220871175,1.218080682230709,0.008925390136526372
std_amount_30d,"(-inf, 1.12]",7397,389,0.05258888738677842,0.025471428571428572,0.02711745881534985,2.0646226119318505,1560,80,0.05128205128205128,0.0252,0.02608205128205128,2.035002035002035,-0.029620576929815456,0.9856532725427466,-0.0013068361047271423
night_ratio_30d,"(0.101, 0.201]",6999,362,0.051721674524932135,0.025471428571428572,0.026250245953503563,2.0305761170752943,1502,71,0.04727030625832224,0.0252,0.022070306258322236,1.875805803901676,-0.15477031317361822,0.9237800972857303,-0.004451368266609898
distinct_countries_30d,"(3.0, 6.0]",8280,363,0.04384057971014493,0.025471428571428572,0.018369151138716355,1.7211668983231323,1860,87,0.0467741935483871,0.0252,0.021574193548387098,1.8561187916026627,0.1349518932795304,1.0784072086981231,0.0029336138382421717
decline_rate_30d,"(-inf, 0.067]",7161,309,0.043150397989107664,0.025471428571428572,0.017678969417679092,1.694070588467491,1614,65,0.040272614622057,0.0252,0.015072614622057001,1.5981196278594048,-0.09595096060808617,0.943360706333821,-0.0028777833670506625
max_amount_30d,"(200126.978, 225176.777]",7000,370,0.05285714285714286,0.025471428571428572,0.027385714285714288,2.075154234436343,1517,54,0.035596572181938034,0.0252,0.010396572181938034,1.4125623881721443,-0.6625918462641989,0.6807023613235786,-0.017260570675204825
