feature,bin,count,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,min_value,max_value,mean_value
mcc_entropy_30d,"(-inf, 0.393]",7009,625,0.08917106577257812,0.025471428571428572,0.06369963720114954,3.500827035378838,0.0,0.393,0.19709188186617205
night_ratio_30d,"(-inf, 0.101]",7038,511,0.0726058539357772,0.025471428571428572,0.04713442536434863,2.850482207237467,0.0,0.101,0.050895566922421136
spending_trend,"(-inf, 0.584]",7002,463,0.06612396458154812,0.025471428571428572,0.04065253601011955,2.59600533971305,0.1,0.584,0.341219794344473
max_amount_30d,"(225176.777, inf]",7000,439,0.06271428571428571,0.025471428571428572,0.03724285714285713,2.462142456533931,225178.46,249999.11,237616.02005857145
distinct_countries_30d,"(-inf, 3.0]",8464,525,0.06202741020793951,0.025471428571428572,0.03655598163651094,2.435175947591568,1.0,3.0,1.99515595463138
mcc_entropy_30d,"(0.393, 0.788]",6992,413,0.059067505720823796,0.025471428571428572,0.03359607714939522,2.3189710602679,0.394,0.788,0.5907090961098399
night_unusual_score,"(0.705, inf]",6991,381,0.054498641109998566,0.025471428571428572,0.029027212538569994,2.139598921873191,0.706,1.0,0.8518113288513803
max_amount_30d,"(200126.978, 225176.777]",7000,370,0.05285714285714286,0.025471428571428572,0.027385714285714288,2.075154234436343,200127.69,225176.59,212685.57743285713
std_amount_30d,"(-inf, 1.12]",7397,389,0.05258888738677842,0.025471428571428572,0.02711745881534985,2.0646226119318505,1.0,1.12,1.0613721779099636
night_ratio_30d,"(0.101, 0.201]",6999,362,0.051721674524932135,0.025471428571428572,0.026250245953503563,2.0305761170752943,0.102,0.201,0.15150750107158167
spending_trend,"(0.584, 1.073]",7008,331,0.04723173515981735,0.025471428571428572,0.02176030658838878,1.854302558153233,0.585,1.073,0.8288855593607306
distinct_countries_30d,"(3.0, 6.0]",8280,363,0.04384057971014493,0.025471428571428572,0.018369151138716355,1.7211668983231323,4.0,6.0,5.0055555555555555
std_amount_30d,"(1.12, 1.25]",6710,292,0.04351713859910581,0.025471428571428572,0.01804571002767724,1.708468705517334,1.13,1.25,1.1882742175856928
decline_rate_30d,"(-inf, 0.067]",7161,309,0.043150397989107664,0.025471428571428572,0.017678969417679092,1.694070588467491,0.002,0.067,0.04768747381650608
