amount,currency,local_timestamp,payment_channel,merchant_country,mcc,card_present,ip_risk,device_id,card_entry_mode,auth_result,merchant_id,pin_verif_method,tokenised,recurring_flag,cross_border,card_activation_age,auth_characteristics,message_type,mean_amount_30d,std_amount_30d,max_amount_30d,txn_counts,distinct_merchants_7d,distinct_countries_30d,online_share_7d,night_ratio_30d,days_since_last_txn,decline_rate_30d,chargebacks_365d,device_diversity_30d,mcc_entropy_30d,credit_util_today,spending_trend,term_location,fraud,ip_address,ip_score,txn_count_7d,txn_count_30d,txn_count_ratio_7d_30d,ip_is_private,ip_score_bin,transaction_datetime,hour,day_of_week,day_name,is_weekend,is_night_txn,month,day,year,time_period,night_unusual_score,is_night_unusual,amount_invalid_flag,std_amount_30d_zero_flag,mean_amount_30d_zero_flag,duplicate_row_flag,ip_score_risk_group,decline_rate_risk_group,credit_util_risk_group,txn_count_7d_group,txn_velocity_group,night_ratio_group,amount_to_mean_30d,amount_to_mean_group,amount_to_max_30d,amount_to_max_group,low_mcc_entropy_flag,low_night_ratio_flag,high_max_amount_30d_flag,low_spending_trend_flag,low_country_diversity_flag,high_device_diversity_flag,high_decline_rate_flag,high_ip_score_flag,night_transaction_flag,card_not_present_flag,cross_border_flag,tokenised_flag,night_unusual_group,high_ip_high_amount_flag,high_decline_high_amount_flag,private_ip_high_score_flag,high_velocity_high_amount_flag,low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_low_spending_trend,low_mcc_entropy_x_card_not_present,low_night_ratio_x_high_max_amount_30d,cross_border_x_low_country_diversity,high_ip_score_x_card_not_present
71385.62,GBP,2025-03-07 07:19:19,MOBILE_APP,PH,7765,False,"{'ip': '174.77.134.216', 'score': 0.3064}",DEV-5C528B7234584CFE,CONTACTLESS,CVV_PASS,MID-5BA3C327F75C,NONE,False,MOTO_MAIL,False,3986,CRYPTOGRAM_PRESENT,0200-FinReq,6.75,1.4,212755.87,"(48, 69)",21,10,0.22,0.76,65,0.282,0,32,2.124,1.452,4.548,CALL_CENTER,0,174.77.134.216,0.3064,48.0,69.0,0.6857142857142857,0,medium,2025-03-07 07:19:19,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,medium,very_high,gt_20,medium,high,9211.047741935483,extreme,0.33552674468279214,below_half_max,0,0,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
41958.74,EUR,2025-03-07 07:19:30,API_SERVER,IN,7995,True,"{'ip': '231.148.136.200', 'score': 0.4186}",DEV-F5CB0AA260AF42F8,TOKEN_IN_APP,3DS_PASS,MID-36FC92EFCEE0,SIGNATURE,True,MOTO_PHONE,True,3804,CRYPTOGRAM_PRESENT,0200-FinReq,12.94,1.97,230333.61,"(11, 13)",120,20,0.135,0.236,30,0.095,0,24,1.742,0.328,4.655,ONLINE_PORTAL,0,231.148.136.200,0.4186,11.0,13.0,0.7857142857142857,0,medium,2025-03-07 07:19:30,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,low,medium,11_20,medium,low,3009.9526542324247,extreme,0.18216428699099974,below_half_max,0,0,1,0,0,0,0,0,0,0,1,1,not_night,0,0,0,0,0,0,0,0,0,0,0
153871.73,USD,2025-03-07 07:21:59,WEB_BROWSER,ZA,3038,False,"{'ip': '77.110.52.227', 'score': 0.171}",DEV-176EDAC722944DBA,CONTACTLESS,3DS_FAIL,MID-06909B008FFA,ONLINE_PIN,False,RECURRING_SUBSCRIPTION,False,2234,CRYPTOGRAM_PRESENT,0400-Reversal,5.31,1.18,141022.77,"(72, 156)",1,5,0.083,0.099,89,0.101,0,3,2.48,1.486,3.255,WEARABLE_PAY,0,77.110.52.227,0.171,72.0,156.0,0.4585987261146497,0,low,2025-03-07 07:21:59,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,medium,very_high,gt_20,low,very_low,24385.377179080828,extreme,1.0911049250775242,above_max,0,1,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
12640.64,EUR,2025-03-07 07:22:41,WEB_BROWSER,PH,4561,False,"{'ip': '29.204.33.254', 'score': 0.4649}",DEV-43083AB6E205477A,CHIP,3DS_FAIL,MID-0470B187B553,ONLINE_PIN,False,RECURRING_SUBSCRIPTION,True,554,CARD_PRESENT,0500-Advice,7.09,2.62,162129.41,"(97, 373)",64,3,0.635,0.301,29,0.312,0,12,0.811,1.37,3.559,MOBILE_APP,0,29.204.33.254,0.4649,97.0,373.0,0.25935828877005346,0,medium,2025-03-07 07:22:41,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,high,very_high,gt_20,low,medium,1562.5018541409147,extreme,0.07796587944235754,below_half_max,0,0,0,0,1,0,1,0,0,1,1,0,not_night,0,0,0,0,0,0,0,0,0,1,0
149437.12,IDR,2025-03-07 07:22:58,IVR_PHONE,ZA,7032,True,"{'ip': '207.35.255.86', 'score': 0.2651}",DEV-26C462E4AE6047DC,CONTACTLESS,3DS_FAIL,MID-6A15337D76BB,OFFLINE_PIN,True,INSTALLMENT_PLAN,False,1713,CARD_PRESENT,0510-AdviceRsp,5.38,2.42,226321.03,"(15, 155)",101,2,0.252,0.858,134,0.041,0,7,0.84,0.396,4.716,KIOSK,0,207.35.255.86,0.2651,15.0,155.0,0.09615384615384616,0,medium,2025-03-07 07:22:58,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,low,medium,11_20,very_low,high,23422.7460815047,extreme,0.6602853465038291,near_max,0,0,1,0,1,0,0,0,0,0,0,1,not_night,0,0,0,0,0,0,0,0,0,0,0
163092.59,CNY,2025-03-07 07:23:50,WEB_BROWSER,FR,3199,False,"{'ip': '27.40.94.227', 'score': 0.2395}",DEV-DCD6F147979F4BF4,QR_CODE,CVV_FAIL,MID-B8B4AB0E5975,ONLINE_PIN,False,MOTO_MAIL,True,2024,CARD_PRESENT,0200-FinReq,5.47,1.38,97796.12,"(39, 159)",75,22,0.269,0.775,88,0.115,0,31,0.56,0.921,3.316,POS_TERMINAL,0,27.40.94.227,0.2395,39.0,159.0,0.24375,0,medium,2025-03-07 07:23:50,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,medium,very_high,gt_20,low,high,25207.510046367854,extreme,1.667662503762892,above_max,0,0,0,0,0,0,0,0,0,1,1,0,not_night,0,0,0,0,0,0,0,0,0,0,0
122032.61,USD,2025-03-07 07:23:55,WEB_BROWSER,VN,5064,True,"{'ip': '115.174.211.223', 'score': 0.2604}",DEV-9FEC8718F2EC417F,MANUAL_KEYED,CVV_PASS,MID-74ACD0B988B5,ONLINE_PIN,True,INSTALLMENT_PLAN,True,2758,FORCE_POST,0510-AdviceRsp,12.11,1.56,48539.81,"(52, 499)",72,11,0.336,0.498,104,0.361,0,9,1.817,1.576,3.075,KIOSK,0,115.174.211.223,0.2604,52.0,499.0,0.104,0,medium,2025-03-07 07:23:55,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,high,very_high,gt_20,very_low,medium,9308.360793287568,extreme,2.514020882634633,much_above_max,0,0,0,0,0,0,1,0,0,0,1,1,not_night,0,0,0,0,0,0,0,0,0,0,0
59565.53,USD,2025-03-07 07:24:13,IVR_PHONE,JP,7702,False,"{'ip': '45.176.31.253', 'score': 0.0829}",DEV-7FDB800C209E4336,TOKEN_IN_APP,AVS_FAIL,MID-8827BA5BCEBD,OFFLINE_PIN,False,RECURRING_SUBSCRIPTION,True,725,CRYPTOGRAM_PRESENT,0110-AuthRsp,6.78,1.95,50464.27,"(76, 225)",23,21,0.017,0.766,139,0.146,0,36,3.705,1.402,2.244,ONLINE_PORTAL,0,45.176.31.253,0.0829,76.0,225.0,0.336283185840708,0,low,2025-03-07 07:24:13,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,medium,very_high,gt_20,low,high,7656.2377892030845,extreme,1.1803271834273352,above_max,0,0,0,0,0,1,0,0,0,1,1,0,not_night,0,0,0,0,0,0,0,0,0,0,0
114575.3,USD,2025-03-07 07:25:08,ATM,GB,4515,False,"{'ip': '132.21.130.190', 'score': 0.4568}",DEV-70087AA76E7B4EC1,QR_CODE,BIOMETRIC_FAIL,MID-D762B1587991,SIGNATURE,True,SINGLE_PURCHASE,False,1561,FALLBACK_MAG,0500-Advice,6.42,1.77,181952.57,"(35, 463)",69,13,0.994,0.682,55,0.268,0,31,2.345,0.451,3.942,CALL_CENTER,0,132.21.130.190,0.4568,35.0,463.0,0.07543103448275862,0,medium,2025-03-07 07:25:08,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,medium,medium,gt_20,very_low,high,15441.415094339623,extreme,0.6296952568723988,near_max,0,0,0,0,0,0,0,0,0,1,0,1,not_night,0,0,0,0,0,0,0,0,0,0,0
41689.59,EUR,2025-03-07 07:26:20,IVR_PHONE,HK,3257,False,"{'ip': '80.206.229.5', 'score': 0.1576}",DEV-6C1B29951D084E00,TOKEN_IN_APP,BIOMETRIC_PASS,MID-C85B9D1C10C6,ONLINE_PIN,False,INSTALLMENT_PLAN,False,2176,MOBILE_TOKEN,0110-AuthRsp,7.18,2.54,109039.92,"(28, 234)",63,2,0.636,0.304,19,0.191,0,20,1.412,1.863,1.241,WEARABLE_PAY,0,80.206.229.5,0.1576,28.0,234.0,0.11914893617021277,0,low,2025-03-07 07:26:20,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,medium,very_high,gt_20,very_low,medium,5096.526894865526,extreme,0.3823297712455104,below_half_max,0,0,0,0,1,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
