column,missing_count,missing_rate,non_missing_count
amount,0,0.0,100000
currency,0,0.0,100000
local_timestamp,0,0.0,100000
payment_channel,0,0.0,100000
merchant_country,0,0.0,100000
mcc,0,0.0,100000
card_present,0,0.0,100000
ip_risk,0,0.0,100000
device_id,0,0.0,100000
card_entry_mode,0,0.0,100000
auth_result,0,0.0,100000
merchant_id,0,0.0,100000
pin_verif_method,0,0.0,100000
tokenised,0,0.0,100000
recurring_flag,0,0.0,100000
cross_border,0,0.0,100000
card_activation_age,0,0.0,100000
auth_characteristics,0,0.0,100000
message_type,0,0.0,100000
mean_amount_30d,0,0.0,100000
std_amount_30d,0,0.0,100000
max_amount_30d,0,0.0,100000
txn_counts,0,0.0,100000
distinct_merchants_7d,0,0.0,100000
distinct_countries_30d,0,0.0,100000
online_share_7d,0,0.0,100000
night_ratio_30d,0,0.0,100000
days_since_last_txn,0,0.0,100000
decline_rate_30d,0,0.0,100000
chargebacks_365d,0,0.0,100000
device_diversity_30d,0,0.0,100000
mcc_entropy_30d,0,0.0,100000
credit_util_today,0,0.0,100000
spending_trend,0,0.0,100000
term_location,0,0.0,100000
fraud,0,0.0,100000
