feature,coefficient,abs_coefficient,direction
categorical__night_unusual_group_not_night,1.1343835998569745,1.1343835998569745,increase_risk
categorical__amount_to_max_group_below_half_max,0.8908333514626191,0.8908333514626191,increase_risk
categorical__amount_to_max_group_extreme,-0.8682715801487453,0.8682715801487453,decrease_risk
numeric__mcc_entropy_30d,-0.7307301588114733,0.7307301588114733,decrease_risk
numeric__amount_z_30d,0.6853361610413732,0.6853361610413732,increase_risk
interaction__low_mcc_entropy_x_high_max_amount_30d,0.6853220976355914,0.6853220976355914,increase_risk
binary__night_transaction_flag,0.664044850336022,0.664044850336022,increase_risk
interaction__low_mcc_entropy_x_low_spending_trend,0.6561543964759018,0.6561543964759018,increase_risk
interaction__low_night_ratio_x_high_max_amount_30d,0.6451433271272294,0.6451433271272294,increase_risk
numeric__night_ratio_30d,-0.6009720248514812,0.6009720248514812,decrease_risk
categorical__time_period_evening,-0.578956250159585,0.578956250159585,decrease_risk
categorical__amount_to_max_group_much_above_max,-0.5678983398452297,0.5678983398452297,decrease_risk
categorical__night_unusual_group_very_high,-0.5550342042560398,0.5550342042560398,decrease_risk
numeric__spending_trend,-0.5520600143505917,0.5520600143505917,decrease_risk
categorical__night_ratio_group_medium,-0.4777343400578977,0.4777343400578977,decrease_risk
categorical__night_unusual_group_medium,-0.4610867176694938,0.4610867176694938,decrease_risk
interaction__low_mcc_entropy_x_low_night_ratio,0.4530673096158042,0.4530673096158042,increase_risk
categorical__amount_to_max_group_above_max,-0.438845027872351,0.438845027872351,decrease_risk
binary__low_night_ratio_flag,-0.43449540068144943,0.43449540068144943,decrease_risk
numeric__distinct_countries_30d,-0.43164742810373324,0.43164742810373324,decrease_risk
categorical__night_unusual_group_high,-0.42225537439338606,0.42225537439338606,decrease_risk
interaction__low_mcc_entropy_x_low_night_ratio_x_card_not_present,0.4205744542194592,0.4205744542194592,increase_risk
categorical__ip_score_risk_group_low,-0.3843668756731654,0.3843668756731654,decrease_risk
categorical__time_period_afternoon,-0.3734281778214619,0.3734281778214619,decrease_risk
categorical__amount_to_max_group_near_max,0.37244159320743375,0.37244159320743375,increase_risk
categorical__credit_util_risk_group_very_high,-0.3616618191570167,0.3616618191570167,decrease_risk
categorical__currency_KRW,-0.35742481873777654,0.35742481873777654,decrease_risk
numeric__amount_to_mean_30d,-0.3506945327191145,0.3506945327191145,decrease_risk
categorical__time_period_night,0.3408880249059781,0.3408880249059781,increase_risk
categorical__txn_count_7d_group_0_1,-0.3344131573267895,0.3344131573267895,decrease_risk
categorical__merchant_country_JP,-0.33103678253583224,0.33103678253583224,decrease_risk
categorical__time_period_morning,-0.3234004255698671,0.3234004255698671,decrease_risk
categorical__time_period_late_evening,0.3231568254411418,0.3231568254411418,increase_risk
binary__low_country_diversity_flag,0.31309729101420714,0.31309729101420714,increase_risk
categorical__night_unusual_group_low,-0.30774730669396455,0.30774730669396455,decrease_risk
categorical__txn_velocity_group_medium,-0.30191194633457624,0.30191194633457624,decrease_risk
categorical__currency_IDR,-0.29335285830493046,0.29335285830493046,decrease_risk
interaction__low_mcc_entropy_x_card_not_present,-0.2839995336428794,0.2839995336428794,decrease_risk
binary__cross_border_flag,-0.25846148086625426,0.25846148086625426,decrease_risk
categorical__night_ratio_group_high,-0.2583823151631255,0.2583823151631255,decrease_risk
binary__high_max_amount_30d_flag,0.2571758666216884,0.2571758666216884,increase_risk
