feature,coefficient,abs_coefficient,direction
categorical__night_unusual_group_not_night,1.16065167621976,1.16065167621976,increase_risk
categorical__amount_to_max_group_below_half_max,0.8842145361855926,0.8842145361855926,increase_risk
categorical__amount_to_max_group_extreme,-0.8028351730237708,0.8028351730237708,decrease_risk
numeric__mcc_entropy_30d,-0.7104319361584585,0.7104319361584585,decrease_risk
interaction__low_mcc_entropy_x_high_max_amount_30d,0.678902251851748,0.678902251851748,increase_risk
binary__night_transaction_flag,0.6663100531202444,0.6663100531202444,increase_risk
numeric__amount_z_30d,0.6648336233574242,0.6648336233574242,increase_risk
interaction__low_mcc_entropy_x_low_spending_trend,0.6614242643410929,0.6614242643410929,increase_risk
interaction__low_night_ratio_x_high_max_amount_30d,0.6111605967861102,0.6111605967861102,increase_risk
categorical__night_unusual_group_very_high,-0.5948360149425622,0.5948360149425622,decrease_risk
numeric__night_ratio_30d,-0.5881948441435797,0.5881948441435797,decrease_risk
categorical__amount_to_max_group_much_above_max,-0.5650101672889687,0.5650101672889687,decrease_risk
numeric__spending_trend,-0.5371342953938955,0.5371342953938955,decrease_risk
categorical__time_period_evening,-0.5351489138992287,0.5351489138992287,decrease_risk
interaction__low_mcc_entropy_x_low_night_ratio_x_card_not_present,0.42450188484317275,0.42450188484317275,increase_risk
numeric__distinct_countries_30d,-0.4198564762680807,0.4198564762680807,decrease_risk
categorical__amount_to_max_group_above_max,-0.41562751458182684,0.41562751458182684,decrease_risk
interaction__low_mcc_entropy_x_low_night_ratio,0.41545089148192793,0.41545089148192793,increase_risk
categorical__night_unusual_group_high,-0.413851245396261,0.413851245396261,decrease_risk
categorical__night_unusual_group_medium,-0.41269208810105346,0.41269208810105346,decrease_risk
categorical__night_ratio_group_medium,-0.3845316086126151,0.3845316086126151,decrease_risk
categorical__time_period_late_evening,0.3791482898162033,0.3791482898162033,increase_risk
categorical__amount_to_max_group_near_max,0.3676565138964853,0.3676565138964853,increase_risk
binary__low_night_ratio_flag,-0.3523258973902823,0.3523258973902823,decrease_risk
categorical__ip_score_risk_group_low,-0.34773593575048023,0.34773593575048023,decrease_risk
categorical__time_period_afternoon,-0.34652160267967136,0.34652160267967136,decrease_risk
categorical__currency_KRW,-0.33718889822238407,0.33718889822238407,decrease_risk
numeric__amount_to_mean_30d,-0.32901953971896925,0.32901953971896925,decrease_risk
categorical__credit_util_risk_group_very_high,-0.3213300541820256,0.3213300541820256,decrease_risk
categorical__time_period_morning,-0.3162413413825738,0.3162413413825738,decrease_risk
categorical__currency_IDR,-0.3161546098195578,0.3161546098195578,decrease_risk
categorical__merchant_country_JP,-0.3116685316503473,0.3116685316503473,decrease_risk
binary__low_country_diversity_flag,0.3012935394866845,0.3012935394866845,increase_risk
interaction__low_mcc_entropy_x_card_not_present,-0.29965400568878037,0.29965400568878037,decrease_risk
categorical__txn_count_7d_group_0_1,-0.2962202234912684,0.2962202234912684,decrease_risk
categorical__time_period_night,0.2871617632812011,0.2871617632812011,increase_risk
categorical__night_unusual_group_low,-0.2708741326495892,0.2708741326495892,decrease_risk
binary__high_max_amount_30d_flag,0.2667236058740249,0.2667236058740249,increase_risk
categorical__txn_velocity_group_medium,-0.26251314950621435,0.26251314950621435,decrease_risk
binary__cross_border_flag,-0.25493893374906196,0.25493893374906196,decrease_risk
binary__very_low_mcc_entropy_flag,0.25421996460458957,0.25421996460458957,increase_risk
numeric__device_diversity_30d,-0.24799143664695755,0.24799143664695755,decrease_risk
categorical__night_ratio_group_very_low,0.24452729121822633,0.24452729121822633,increase_risk
categorical__merchant_country_VN,0.24397516675098266,0.24397516675098266,increase_risk
numeric__decline_rate_30d,-0.2327954840945247,0.2327954840945247,decrease_risk
categorical__txn_velocity_group_low,-0.2219759060900989,0.2219759060900989,decrease_risk
categorical__auth_result_CVV_FAIL,-0.21255167048713597,0.21255167048713597,decrease_risk
categorical__day_name_Wednesday,-0.21083599052809385,0.21083599052809385,decrease_risk
categorical__decline_rate_risk_group_medium,-0.20590314520763625,0.20590314520763625,decrease_risk
