rule,feature_a,value_a,feature_b,value_b,support,support_rate,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,order,strength,business_interpretation
payment_channel=SMART_WATCH AND merchant_country=ZA,payment_channel,SMART_WATCH,merchant_country,ZA,718,0.00718,32,0.04456824512534819,0.02549,0.01907824512534819,1.7484599892251154,2,WEAK,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
time_period=late_evening AND payment_channel=SMART_WATCH,time_period,late_evening,payment_channel,SMART_WATCH,1235,0.01235,50,0.04048582995951417,0.02549,0.014995829959514172,1.5883024699691712,2,WEAK,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=WEB_BROWSER AND merchant_country=US,payment_channel,WEB_BROWSER,merchant_country,US,704,0.00704,26,0.036931818181818184,0.02549,0.011441818181818185,1.4488747815542637,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
day_name=Saturday AND payment_channel=MOBILE_APP,day_name,Saturday,payment_channel,MOBILE_APP,2120,0.0212,78,0.03679245283018868,0.02549,0.01130245283018868,1.4434073295483987,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
cross_border=True AND merchant_country=PH,cross_border,True,merchant_country,PH,1027,0.01027,37,0.03602726387536514,0.02549,0.01053726387536514,1.4133881473269965,2,LOW_SIGNAL,Giao dịch xuyên biên giới. Risk phụ thuộc vào việc user có quen giao dịch nhiều quốc gia hay không.
payment_channel=WEB_BROWSER AND merchant_country=MY,payment_channel,WEB_BROWSER,merchant_country,MY,702,0.00702,25,0.03561253561253561,0.02549,0.010122535612535614,1.3971179133988079,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=ATM AND merchant_country=JP,payment_channel,ATM,merchant_country,JP,706,0.00706,25,0.03541076487252125,0.02549,0.009920764872521248,1.3892022311699195,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=SMART_WATCH AND term_location=WEARABLE_PAY,payment_channel,SMART_WATCH,term_location,WEARABLE_PAY,2068,0.02068,73,0.03529980657640232,0.02549,0.009809806576402319,1.3848492183759247,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=IVR_PHONE AND merchant_country=ZA,payment_channel,IVR_PHONE,merchant_country,ZA,737,0.00737,26,0.035278154681139755,0.02549,0.009788154681139756,1.383999791335416,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=POS_TERMINAL AND merchant_country=VN,payment_channel,POS_TERMINAL,merchant_country,VN,743,0.00743,26,0.034993270524899055,0.02549,0.009503270524899056,1.372823480772815,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=POS_TERMINAL AND merchant_country=PH,payment_channel,POS_TERMINAL,merchant_country,PH,686,0.00686,24,0.03498542274052478,0.02549,0.009495422740524784,1.3725156037867707,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=SMART_WATCH AND merchant_country=MY,payment_channel,SMART_WATCH,merchant_country,MY,718,0.00718,25,0.034818941504178275,0.02549,0.009328941504178276,1.3659843665821214,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=IVR_PHONE AND merchant_country=CN,payment_channel,IVR_PHONE,merchant_country,CN,729,0.00729,25,0.03429355281207133,0.02549,0.008803552812071333,1.3453728054951484,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=API_SERVER AND merchant_country=US,payment_channel,API_SERVER,merchant_country,US,683,0.00683,23,0.03367496339677892,0.02549,0.008184963396778919,1.321104880218867,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=ATM AND merchant_country=DE,payment_channel,ATM,merchant_country,DE,657,0.00657,22,0.0334855403348554,0.02549,0.007995540334855403,1.3136736106259475,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=API_SERVER AND merchant_country=VN,payment_channel,API_SERVER,merchant_country,VN,719,0.00719,24,0.03337969401947149,0.02549,0.00788969401947149,1.309521146311161,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=POS_TERMINAL AND term_location=BRANCH_COUNTER,payment_channel,POS_TERMINAL,term_location,BRANCH_COUNTER,2039,0.02039,68,0.03334968121628249,0.02549,0.007859681216282492,1.308343711898097,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=ATM AND merchant_country=HK,payment_channel,ATM,merchant_country,HK,753,0.00753,25,0.033200531208499334,0.02549,0.0077105312084993355,1.3024923973518767,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=IVR_PHONE AND merchant_country=AE,payment_channel,IVR_PHONE,merchant_country,AE,667,0.00667,22,0.03298350824587706,0.02549,0.007493508245877065,1.293978354094824,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=MOBILE_APP AND merchant_country=IN,payment_channel,MOBILE_APP,merchant_country,IN,728,0.00728,24,0.03296703296703297,0.02549,0.007477032967032969,1.2933320112606108,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=API_SERVER AND term_location=POS_TERMINAL,payment_channel,API_SERVER,term_location,POS_TERMINAL,2132,0.02132,70,0.03283302063789869,0.02549,0.007343020637898691,1.2880745640603646,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=IVR_PHONE AND merchant_country=SG,payment_channel,IVR_PHONE,merchant_country,SG,701,0.00701,23,0.03281027104136947,0.02549,0.0073202710413694735,1.287182073023518,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=SMART_WATCH AND merchant_country=ID,payment_channel,SMART_WATCH,merchant_country,ID,672,0.00672,22,0.03273809523809524,0.02549,0.007248095238095241,1.28435053896019,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
