currency,payment_channel,merchant_country,mcc,card_present,card_entry_mode,auth_result,pin_verif_method,tokenised,recurring_flag,cross_border,auth_characteristics,message_type,term_location,day_name,time_period,ip_score_bin,ip_score_risk_group,decline_rate_risk_group,credit_util_risk_group,txn_count_7d_group,txn_velocity_group,night_ratio_group,amount_to_mean_group,amount_to_max_group,night_unusual_group,high_ip_high_amount_flag,high_decline_high_amount_flag,private_ip_high_score_flag,high_velocity_high_amount_flag,low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_card_not_present,low_night_ratio_x_high_max_amount_30d,cross_border_x_low_country_diversity,high_ip_score_x_card_not_present,amount,mean_amount_30d,std_amount_30d,max_amount_30d,night_ratio_30d,mcc_entropy_30d,distinct_merchants_7d,distinct_countries_30d,device_diversity_30d,decline_rate_30d,chargebacks_365d,credit_util_today,ip_score,txn_count_7d,txn_count_30d,txn_count_ratio_7d_30d,hour,amount_to_mean_30d,amount_to_max_30d,night_unusual_score,fraud
USD,ATM,PH,7736,True,CHIP,3DS_FAIL,OFFLINE_PIN,False,MOTO_PHONE,True,FALLBACK_MAG,0110-AuthRsp,BRANCH_COUNTER,Wednesday,morning,low,low,medium,very_high,11_20,medium,very_low,extreme,much_above_max,not_night,0,0,0,0,0,0,0,0,1,0,100606.12,5.19,6.62,34046.16,0.084,0.801,112,2,27,0.271,3,0.943,0.1467,13.0,21.0,0.5909090909090909,10,16253.008077544424,2.9549049024940697,0.0,0
USD,WEB_BROWSER,GB,3242,False,CHIP,BIOMETRIC_PASS,ONLINE_PIN,True,INSTALLMENT_PLAN,False,CRYPTOGRAM_PRESENT,0110-AuthRsp,BRANCH_COUNTER,Friday,night,high,high,low,very_high,gt_20,very_low,high,extreme,extreme,low,0,0,0,0,0,0,0,0,0,1,146953.67,6.18,35.5,7146.37,0.751,0.651,3,9,17,0.098,3,1.269,0.5243,22.0,256.0,0.08560311284046693,0,20467.084958217274,20.56052366115089,0.249,0
USD,ATM,US,5638,True,TOKEN_IN_APP,CVV_FAIL,OFFLINE_PIN,True,RECURRING_SUBSCRIPTION,False,E_COMMERCE,0110-AuthRsp,KIOSK,Thursday,night,medium,medium,low,low,11_20,low,high,extreme,much_above_max,medium,0,0,0,0,0,0,0,0,0,0,161096.38,5.8,4.32,72447.86,0.637,0.646,40,16,11,0.092,0,0.291,0.4811,13.0,29.0,0.43333333333333335,3,23690.64411764706,2.223587507105012,0.363,0
CNY,MOBILE_APP,JP,7800,False,MAGSTRIPE,3DS_PASS,OFFLINE_PIN,False,MOTO_PHONE,False,E_COMMERCE,0420-RepeatRev,CALL_CENTER,Friday,night,medium,medium,low,very_high,gt_20,very_low,medium,extreme,near_max,medium,0,0,0,0,0,0,0,0,0,0,131491.0,5.29,3.84,228799.51,0.497,1.638,21,3,23,0.055,0,1.202,0.3218,58.0,375.0,0.15425531914893617,2,20904.76947535771,0.5746971455614325,0.503,0
CNY,SMART_WATCH,PH,5789,False,CHIP,CVV_FAIL,ONLINE_PIN,False,MOTO_MAIL,False,CARD_PRESENT,0110-AuthRsp,POS_TERMINAL,Sunday,afternoon,low,low,medium,very_high,gt_20,low,high,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,0,71265.99,6.69,1.82,108426.28,0.831,2.033,100,6,16,0.201,0,1.846,0.1168,60.0,266.0,0.2247191011235955,12,9267.358907672302,0.6572699232148957,0.0,0
USD,SMART_WATCH,ID,4456,True,QR_CODE,3DS_FAIL,SIGNATURE,True,INSTALLMENT_PLAN,False,FALLBACK_MAG,0200-FinReq,CALL_CENTER,Friday,evening,medium,medium,medium,medium,11_20,very_low,medium,extreme,extreme,not_night,0,0,0,0,0,0,0,0,0,0,147051.82,6.24,1.81,9633.92,0.326,3.31,108,12,18,0.237,0,0.404,0.2256,20.0,125.0,0.15873015873015872,19,20311.024861878454,15.262381005758222,0.0,0
EUR,API_SERVER,DE,4376,False,MANUAL_KEYED,CVV_PASS,NONE,True,SINGLE_PURCHASE,False,CARD_PRESENT,0400-Reversal,MOBILE_APP,Friday,afternoon,medium,medium,medium,medium,gt_20,low,low,extreme,above_max,not_night,0,0,0,0,0,0,0,0,0,0,165704.55,5.35,2.18,95246.74,0.136,1.14,102,7,7,0.248,0,0.391,0.2393,88.0,290.0,0.3024054982817869,15,26095.20472440945,1.7397215933942367,0.0,0
USD,MOBILE_APP,PH,4926,False,MANUAL_KEYED,AVS_FAIL,OFFLINE_PIN,True,SINGLE_PURCHASE,True,MOBILE_TOKEN,0110-AuthRsp,WEARABLE_PAY,Tuesday,night,low,low,medium,very_high,gt_20,low,high,extreme,below_half_max,medium,0,0,0,0,0,0,0,0,0,0,2799.88,7.5,2.95,86995.74,0.665,0.859,28,6,10,0.294,0,0.944,0.1737,48.0,235.0,0.2033898305084746,2,329.39764705882357,0.032183734700863505,0.33499999999999996,0
USD,SMART_WATCH,MY,5101,False,TOKEN_IN_APP,BIOMETRIC_FAIL,SIGNATURE,True,RECURRING_SUBSCRIPTION,False,CRYPTOGRAM_PRESENT,0100-AuthReq,CALL_CENTER,Friday,evening,medium,medium,medium,medium,gt_20,low,medium,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,13608.83,7.35,1.62,52320.3,0.442,1.938,119,5,5,0.102,7,0.529,0.2104,45.0,128.0,0.3488372093023256,21,1629.8,0.2601011442758494,0.0,0
USD,WEB_BROWSER,DE,3110,True,MANUAL_KEYED,CVV_FAIL,ONLINE_PIN,False,MOTO_MAIL,False,FORCE_POST,0420-RepeatRev,CALL_CENTER,Friday,night,low,low,low,high,11_20,very_low,high,extreme,above_max,low,0,0,0,0,0,0,0,0,0,0,40376.15,6.5,2.34,33253.89,0.881,2.906,25,10,20,0.09,3,0.861,0.1738,15.0,444.0,0.033707865168539325,1,5383.486666666667,1.2141417397561682,0.119,0
USD,SMART_WATCH,AU,3296,False,MANUAL_KEYED,AVS_FAIL,NONE,True,SINGLE_PURCHASE,False,E_COMMERCE,0110-AuthRsp,ONLINE_PORTAL,Saturday,morning,high,high,low,very_high,gt_20,low,high,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,1,103514.34,7.21,2.88,185893.56,0.9,2.189,43,20,40,0.06,0,1.461,0.586,75.0,161.0,0.46296296296296297,7,12608.323995127892,0.55684437457449,0.0,0
THB,IVR_PHONE,BR,4568,False,CHIP,3DS_PASS,ONLINE_PIN,False,SINGLE_PURCHASE,False,MOBILE_TOKEN,0420-RepeatRev,CALL_CENTER,Monday,morning,low,low,medium,very_high,gt_20,very_low,high,extreme,below_half_max,not_night,0,0,0,0,0,0,1,0,0,0,98467.67,5.1,3.83,223106.36,0.751,0.134,52,21,12,0.198,0,1.436,0.0597,25.0,485.0,0.051440329218107,11,16142.240983606558,0.4413465786157839,0.0,0
CNY,MOBILE_APP,US,3001,False,TOKEN_IN_APP,BIOMETRIC_PASS,ONLINE_PIN,False,INSTALLMENT_PLAN,True,CRYPTOGRAM_PRESENT,0400-Reversal,MOBILE_APP,Tuesday,night,medium,medium,medium,high,11_20,very_low,high,extreme,below_half_max,low,0,0,0,0,0,0,0,0,0,0,73520.19,7.04,1.19,189593.77,0.811,2.874,95,21,38,0.117,0,0.849,0.2141,13.0,184.0,0.07027027027027027,1,9144.30223880597,0.3877754117373597,0.18899999999999995,0
CAD,ATM,HK,7103,False,CONTACTLESS,3DS_FAIL,OFFLINE_PIN,True,MOTO_PHONE,False,CARD_PRESENT,0110-AuthRsp,POS_TERMINAL,Sunday,afternoon,medium,medium,medium,high,gt_20,very_low,high,extreme,extreme,not_night,0,0,0,0,0,0,0,0,0,0,191677.39,6.51,1.35,18437.86,0.875,1.672,95,23,26,0.294,0,0.778,0.2348,47.0,378.0,0.12401055408970976,16,25522.95472703063,10.395295045355299,0.0,0
CNY,API_SERVER,CN,7014,False,CONTACTLESS,AVS_FAIL,OFFLINE_PIN,False,MOTO_MAIL,False,FORCE_POST,0110-AuthRsp,WEARABLE_PAY,Thursday,late_evening,medium,medium,medium,very_high,gt_20,very_low,high,extreme,much_above_max,low,0,0,0,0,0,0,0,0,0,0,126959.72,5.79,2.21,27835.15,0.745,1.152,25,18,39,0.116,0,1.001,0.2143,42.0,270.0,0.15498154981549817,23,18698.044182621503,4.560965507083415,0.255,0
