feature,value,count,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift
low_mcc_entropy_x_low_night_ratio,1,1003,249,0.24825523429710866,0.02549,0.22276523429710865,9.739318724876762
low_mcc_entropy_x_high_max_amount_30d,1,1008,226,0.22420634920634921,0.02549,0.19871634920634923,8.79585520621221
low_night_ratio_x_high_max_amount_30d,1,1029,196,0.19047619047619047,0.02549,0.16498619047619045,7.472584953950195
low_mcc_entropy_x_card_not_present,1,6495,566,0.08714395688991532,0.02549,0.06165395688991532,3.418750760687145
night_unusual_group,very_high,3373,253,0.07500741179958494,0.02549,0.04951741179958494,2.942621098453705
night_ratio_group,very_low,9941,736,0.07403681722160749,0.02549,0.04854681722160749,2.9045436336448605
cross_border_x_low_country_diversity,1,2443,131,0.053622595169873104,0.02549,0.028132595169873105,2.10367183875532
night_ratio_group,low,20112,883,0.04390413683373111,0.02549,0.01841413683373111,1.7224063096795257
night_unusual_group,high,10064,407,0.04044117647058824,0.02549,0.014951176470588239,1.5865506657743522
credit_util_risk_group,low,15112,558,0.036924298570672316,0.02549,0.011434298570672317,1.448579779155446
decline_rate_risk_group,low,24124,889,0.03685126844636047,0.02549,0.01136126844636047,1.4457147291628274
amount_to_max_group,below_half_max,31134,1124,0.03610201066358322,0.02549,0.010612010663583221,1.4163205438832178
amount_to_max_group,near_max,28644,979,0.03417818740399386,0.02549,0.00868818740399386,1.3408468969789666
