feature,bin,count,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,min_value,max_value,mean_value
mcc_entropy_30d,"(-0.001, 0.392]",10012,854,0.08529764282860568,0.02549,0.05980764282860568,3.346317882644397,0.0,0.392,0.1960321614063124
night_ratio_30d,"(-0.001, 0.1]",10003,742,0.0741777466759972,0.02549,0.04868774667599721,2.9100724470771757,0.0,0.1,0.05047375787263821
max_amount_30d,"(225071.135, 249999.11]",10000,663,0.0663,0.02549,0.04081,2.6010200078462145,225073.7,249999.11,237598.0443
distinct_countries_30d,"(0.999, 3.0]",12114,748,0.06174673930988939,0.02549,0.03625673930988939,2.4223907143934635,1.0,3.0,1.9953772494634308
mcc_entropy_30d,"(0.392, 0.791]",9996,613,0.06132452981192477,0.02549,0.035834529811924774,2.405826983598461,0.393,0.791,0.5915414165666266
night_unusual_score,"(0.704, 1.0]",9970,548,0.054964894684052155,0.02549,0.029474894684052157,2.1563316863104025,0.7050000000000001,1.0,0.8520920762286861
std_amount_30d,"(0.999, 1.12]",10510,552,0.05252140818268316,0.02549,0.02703140818268316,2.060471093867523,1.0,1.12,1.0609800190294958
night_ratio_30d,"(0.1, 0.2]",10018,504,0.05030944300259533,0.02549,0.02481944300259533,1.9736933308197462,0.101,0.2,0.15054322220003993
max_amount_30d,"(200269.424, 225071.135]",10000,496,0.0496,0.02549,0.02411,1.9458611220086308,200272.52,225070.85,212729.08427300001
distinct_countries_30d,"(3.0, 5.0]",7967,384,0.048198820133048825,0.02549,0.022708820133048827,1.8908913351529553,4.0,5.0,4.493786870842224
std_amount_30d,"(1.12, 1.25]",9539,433,0.045392598804906176,0.02549,0.019902598804906177,1.7808002669637575,1.13,1.25,1.1884369430757942
decline_rate_30d,"(0.001, 0.067]",10322,426,0.04127107149777175,0.02549,0.015781071497771748,1.6191083365151726,0.002,0.067,0.0477708777368727
